Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
ATG,2016,-2.41906e-06,4.83813e-06,0.0366933,0.011008,0.506617,0.0496247,0.37,-0.04589755000000001,-0.009206667499999998,0.49741025000000005,-0.012499999999999999
ATG,2017,-2.4421e-06,4.88421e-06,0.0366933,0.011008,0.506444,0.0496247,-0.18,-0.13354970000000002,-0.096858975,0.409585,-0.012499999999999999
ATG,2018,-9.10029e-07,1.82006e-06,0.0366933,0.011008,0.516804,0.0496247,-0.01,-0.1409585,-0.10426600000000001,0.41253825,-0.012499999999999999
ATG,2019,-1.80278e-06,3.60556e-06,0.0366933,0.011008,0.529424,0.0485137,-0.31,-0.09158602500000002,-0.05489465,0.47453,-0.012499999999999999
ATG,2020,-1.89839e-06,3.79678e-06,0.0366933,0.011008,0.475043,0.0485137,0.45,-0.075530025,-0.03883877500000001,0.43620425,-0.012499999999999999
ATG,mean,-1.89839e-06,3.79678e-06,0.0366933,0.011008,0.507093,0.0490692,-0.37,-0.08856825,-0.051877225,0.45521625,-0.012499999999999999
AUS,2015,-50.398,19.1657,-52.4963,-15.7489,389.178,7.30224,-1.41,101.01124999999999,-1.882960000000004,387.29546750000003,0.655
AUS,2016,-47.0871,12.5438,-52.4963,-15.7489,396.191,7.38313,-2.03,-857.7665,-957.350325,-561.1610000000001,0.655
AUS,2017,-61.0564,40.4825,-52.4963,-15.7489,391.688,7.32475,-1.25,-392.6465,-506.19905000000006,-114.51174999999999,0.655
AUS,2018,-63.6797,45.7292,-52.4963,-15.7489,391.99,7.32475,-1.1,333.28125,217.1053,609.09475,0.655
AUS,2019,-54.2248,26.8192,-52.4963,-15.7489,407.105,7.30224,0.58,606.838,500.1165,907.2239999999999,0.655
AUS,2020,-55.2892,28.9481,-52.4963,-15.7489,371.26,7.30224,-0.57,-90.46168,-198.24715,173.01252499999998,0.655
AUS,mean,-55.2892,28.9481,-52.4963,-15.7489,391.235,7.32323,-1.28,-45.971824999999995,-153.75725,237.47797500000001,0.655
AUT,2015,-3.05242,0.268871,3.35319,1.00596,70.0855,1.20758,-0.15,-30.156075,-29.855275,40.230225000000004,0.4175
AUT,2016,-2.99076,0.392192,3.35319,1.00596,71.0988,1.21286,-0.3,-44.5496,-44.1872,26.91165,0.4175
AUT,2017,-2.773,0.82771,3.35319,1.00596,73.192,1.26705,-0.32,-42.241074999999995,-41.660875,31.531150000000004,0.4175
AUT,2018,-2.97502,0.42367,3.35319,1.00596,71.9515,1.26705,-0.43,-37.139675,-36.761525,35.19,0.4175
AUT,2019,-2.81046,0.752805,3.35319,1.00596,73.4447,1.20758,0.21,-30.143925000000003,-29.6012,43.843500000000006,0.4175
AUT,2020,-2.92033,0.53305,3.35319,1.00596,67.9935,1.20758,0.09,-37.590025,-37.15715,30.836355000000005,0.4175
AUT,mean,-2.92033,0.53305,3.35319,1.00596,71.2943,1.22828,0.14,-34.773625,-34.340775,36.953575,0.4175
AZE,2015,-0.578187,1.10149,3.0528,0.91584,35.8277,2.77628,0.7,3.5230974999999995,5.9977065000000005,41.825425,0.21
AZE,2016,-0.581657,1.09455,3.0528,0.91584,36.1103,2.77954,2.09,-5.5232025,-3.0520525000000003,33.0583,0.21
AZE,2017,-0.579135,1.0996,3.0528,0.91584,35.9038,2.74209,-0.08,0.634875,3.1085400000000005,39.012375,0.21
AZE,2018,-0.577712,1.10244,3.0528,0.91584,37.1751,2.74209,1.24,14.072064999999998,16.5471625,53.722274999999996,0.21
AZE,2019,-0.57535,1.10717,3.0528,0.91584,38.8872,2.77628,0.34,-5.9151175,-3.4376612500000006,35.449525,0.21
