Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
CAN,2015,-166.888,145.688,-69.3646,-20.8094,611.07,11.0088,0.49,-1050.4389999999999,-1286.69,-675.6220000000001,0.7775
CAN,2016,-170.422,138.619,-69.3646,-20.8094,613.29,10.9681,1.46,-1224.556,-1464.3400000000001,-851.0509999999999,0.7775
CAN,2017,-172.883,133.697,-69.3646,-20.8094,634.731,11.4416,0.91,-1387.257,-1629.505,-994.77125,0.7775
CAN,2018,-169.956,139.552,-69.3646,-20.8094,652.196,11.4416,0.55,-1157.675,-1396.995,-744.7987499999999,0.7775
CAN,2019,-174.448,130.567,-69.3646,-20.8094,642.444,11.0088,1.55,-1401.324,-1645.135,-1002.6935000000001,0.7775
CAN,2020,-170.919,137.625,-69.3646,-20.8094,582.448,11.0088,2.68,-823.8031500000001,-1064.0869999999998,-481.638,0.7775
CAN,mean,-170.919,137.625,-69.3646,-20.8094,622.696,11.1463,2.11,-1231.93325,-1472.2174999999997,-849.522,0.7775
CHE,2015,-3.76803,1.08875,3.70365,1.11109,52.554,0.7029,0.21,-31.751424999999998,-31.8158,20.7381825,0.4925
CHE,2016,-3.42554,0.40378,3.70365,1.11109,51.7027,0.676353,0.66,-39.4985,-39.2204,12.4822775,0.4925
CHE,2017,-3.2736,0.0999055,3.70365,1.11109,51.8794,0.683687,0.75,-45.190525,-44.7605,7.1189,0.4925
CHE,2018,-3.52989,0.612479,3.70365,1.11109,49.3,0.683687,0.38,-35.082625,-34.908875,14.39115,0.4925
CHE,2019,-3.16957,0.108163,3.70365,1.11109,49.3452,0.7029,0.38,-18.2589555,-17.72491,31.620275,0.4925
CHE,2020,-3.43332,0.462616,3.70365,1.11109,44.6034,0.7029,0.57,-31.250104999999998,-30.9798,13.6235925,0.4925
CHE,mean,-3.43332,0.462616,3.70365,1.11109,49.8974,0.692071,0.41,-34.578125,-34.3078,15.589647499999998,0.4925
CHL,2015,-16.9175,1.34937,5.26884,1.58065,85.2077,8.32695,-0.56,-15.9086425,-27.557274999999997,57.650425,0.125
CHL,2016,-13.3857,5.71416,5.26884,1.58065,88.2367,8.57433,-0.01,-35.536975,-43.653875,44.58285,0.125
CHL,2017,-15.3166,1.85233,5.26884,1.58065,87.8963,8.56544,-0.32,-28.0698475,-38.11765,49.77869,0.125
CHL,2018,-14.0831,4.31927,5.26884,1.58065,89.8686,8.56544,0.09,-31.829024999999998,-40.643325000000004,49.225274999999996,0.125
CHL,2019,-12.8316,6.82236,5.26884,1.58065,87.8199,8.32695,-0.39,-56.3698,-63.932550000000006,23.8873825,0.125
CHL,2020,-14.5069,4.0115,5.26884,1.58065,81.408,8.32695,0.09,-48.095225,-57.3333,24.074675000000003,0.125
CHL,mean,-14.5069,4.0115,5.26884,1.58065,86.7395,8.44767,-0.46,-34.7,-43.9381,42.80145,0.125
CHN,2015,-275.071,8.23999,215.157,64.5472,9932.09,847.01,-0.61,-2342.9825,-2402.8975,7529.1975,0.6475
CHN,2016,-310.876,63.3705,215.157,64.5472,9856.13,835.071,1.2,-1960.805,-2056.5225,7799.6125,0.6475
CHN,2017,-300.259,42.1373,215.157,64.5472,9962.92,849.014,-0.41,-2174.7999999999997,-2259.8999999999996,7703.02,0.6475
CHN,2018,-272.73,12.9221,215.157,64.5472,10170.6,849.014,-0.43,-1908.1425000000002,-1965.715,8204.88,0.6475
CHN,2019,-280.773,3.16402,215.157,64.5472,10483.2,847.01,1.69,-1671.4975,-1737.1175,8746.1225,0.6475
CHN,2020,-287.942,25.9668,215.157,64.5472,10495.1,847.01,-0.87,-1001.6775000000001,-1074.4625,9420.635,0.6475
CHN,mean,-287.942,25.9668,215.157,64.5472,10150.0,845.688,-0.0,-1817.635,-1890.4249999999997,8259.5925,0.6475
CIV,2015,-10.4892,6.29502,-1.0112,-0.303359,12.8625,0.64376,1.86,167.11535,155.61475,168.477375,0.3025
CIV,2016,-16.3542,18.025,-1.0112,-0.303359,13.2315,0.799265,1.25,183.86255,166.49745000000001,179.72854999999998,0.3025
CIV,2017,-14.7585,14.8337,-1.0112,-0.303359,13.8276,0.803037,1.81,153.812625,138.042925,151.870575,0.3025
CIV,2018,-11.729,8.77456,-1.0112,-0.303359,14.2723,0.803037,1.67,106.380425,93.640375,107.91245,0.3025
CIV,2019,-11.8228,8.96229,-1.0112,-0.303359,14.6628,0.64376,0.64,79.199575,66.36553,81.02850000000001,0.3025
CIV,2020,-13.0307,11.3781,-1.0112,-0.303359,13.5312,0.64376,1.35,118.03395,103.99192249999999,117.52302499999999,0.3025
CIV,mean,-13.0307,11.3781,-1.0112,-0.303359,13.7313,0.72277,1.78,130.214025,116.1720325,129.9031,0.3025
CMR,2015,-12.3002,12.505,2.79143,0.837429,4.96667,0.783996,1.25,72.952,63.4431,68.40990000000001,0.3725
CMR,2016,-13.1586,10.7882,2.79143,0.837429,5.12821,0.835472,-0.26,156.07535,145.70805000000001,150.83635,0.3725
CMR,2017,-12.9853,11.135,2.79143,0.837429,5.32761,0.761776,0.62,116.044275,105.850625,111.178175,0.3725
CMR,2018,-13.0759,10.9538,2.79143,0.837429,5.48868,0.761776,0.12,-33.49305,-43.77760000000001,-38.288825,0.3725
CMR,2019,-13.4686,10.1683,2.79143,0.837429,5.62964,0.783996,-0.39,59.09075000000001,48.413575,54.043125,0.3725
CMR,2020,-12.9977,11.1101,2.79143,0.837429,5.16068,0.783996,0.14,37.295625,27.089250000000007,32.250074999999995,0.3725
CMR,mean,-12.9977,11.1101,2.79143,0.837429,5.28358,0.785168,0.83,88.4462,78.2398,83.52335,0.3725
COD,2015,-40.9896,7.79332,0.0,0.0,7.35073,0.282564,-0.6,95.117475,54.12779999999999,61.4785825,0.56
COD,2016,-44.778,0.216448,0.0,0.0,7.58206,0.203683,-0.88,325.21557499999994,280.436575,288.01862499999993,0.56
COD,2017,-43.7051,2.36227,0.0,0.0,7.88673,0.250345,-0.5,242.88225,199.17715,207.06369999999998,0.56
COD,2018,-45.7662,1.75986,0.0,0.0,8.11277,0.250345,-0.34,46.113925,0.3478275000000033,8.460625000000002,0.56
COD,2019,-45.8486,1.92467,0.0,0.0,8.30708,0.282564,-1.0,215.149875,169.30157499999999,177.6085,0.56
COD,2020,-44.2175,2.81131,0.0,0.0,7.35447,0.282564,-1.21,-14.911500000000004,-59.12925,-51.77450000000001,0.56
COD,mean,-44.2175,2.81131,0.0,0.0,7.76564,0.258678,-0.64,133.212,88.99477499999999,96.760075,0.56
COG,2015,-7.62335,3.14824,0.598205,0.179462,11.7098,0.349595,-0.17,-35.01565,-42.0408225,-30.331,0.27999999999999997
COG,2016,-8.27267,1.84959,0.598205,0.179462,12.0411,0.374407,-0.75,-9.370375000000003,-17.044624999999996,-5.00356,0.27999999999999997
COG,2017,-8.05674,2.28146,0.598205,0.179462,12.4761,0.360705,-0.48,-10.439275,-17.8978,-5.421749999999999,0.27999999999999997
COG,2018,-8.41561,1.56371,0.598205,0.179462,12.8443,0.360705,-0.45,-105.5341,-113.35129999999998,-100.50715,0.27999999999999997
COG,2019,-8.39585,1.60324,0.598205,0.179462,13.1684,0.349595,-0.12,-16.330525,-24.128225000000004,-10.959724999999999,0.27999999999999997
COG,2020,-8.15284,2.08925,0.598205,0.179462,12.2284,0.349595,-0.39,-72.70715,-80.26191,-68.03335,0.27999999999999997
COG,mean,-8.15284,2.08925,0.598205,0.179462,12.4113,0.357433,-0.59,-17.394525,-24.949150000000003,-12.537825000000002,0.27999999999999997
COK,2015,-3.49019e-05,6.98038e-05,0.0,0.0,0.103782,0.00629567,0.02,-3.8552875,-3.8553224999999998,-3.7515400000000003,0.4575
COK,2016,-4.40204e-05,8.80409e-05,0.0,0.0,0.10807,0.00629567,-0.39,-3.473765,-3.4738074999999995,-3.3657375,0.4575
COK,2017,-4.44397e-05,8.88793e-05,0.0,0.0,0.112217,0.00703633,-0.25,-3.3085725,-3.3086225,-3.1964025000000005,0.4575
COK,2018,-1.65601e-05,3.31201e-05,0.0,0.0,0.123483,0.00703633,-0.1,-3.51213,-3.5121474999999998,-3.388665,0.4575
COK,2019,-3.28057e-05,6.56114e-05,0.0,0.0,0.1291,0.00629567,-0.56,-2.644705,-2.64474,-2.5156400000000003,0.4575
COK,2020,-3.45456e-05,6.90911e-05,0.0,0.0,0.0873974,0.00629567,-0.33,-1.9532505000000002,-1.953284,-1.86588975,0.4575
COK,mean,-3.45456e-05,6.90911e-05,0.0,0.0,0.110675,0.00654256,-0.33,-3.269215,-3.26925,-3.158575,0.4575
COL,2015,-87.3588,52.9531,10.4288,3.12864,124.264,8.62617,-1.37,-99.154325,-176.08425,-51.820750000000004,0.52
COL,2016,-83.6444,60.3819,10.4288,3.12864,149.464,10.1194,-0.35,40.484899999999996,-32.730749999999986,116.73349999999999,0.52
COL,2017,-97.7478,32.175,10.4288,3.12864,172.394,9.19797,-1.32,-298.976725,-386.29575,-213.90200000000002,0.52
COL,2018,-90.671,46.3288,10.4288,3.12864,173.579,9.19797,-0.68,-242.80775,-323.05003750000003,-149.471,0.52
COL,2019,-89.4174,48.8359,10.4288,3.12864,183.601,8.62617,-0.87,-50.54027500000001,-129.52895,54.07239999999999,0.52
COL,2020,-89.7679,48.1349,10.4288,3.12864,170.181,8.62617,-0.31,71.3195,-8.019649999999999,162.16174999999998,0.52
COL,mean,-89.7679,48.1349,10.4288,3.12864,162.247,9.06564,-0.98,-72.905025,-152.244025,10.003025000000008,0.52
COM,2015,-5.89744e-06,1.17949e-05,0.0,0.0,0.122943,0.0170353,-0.0,0.10530677999999999,0.1053008825,0.22824375,0.02
COM,2016,-7.43821e-06,1.48764e-05,0.0,0.0,0.126199,0.0203683,0.84,0.25161845000000005,0.251611075,0.377810075,0.02
COM,2017,-7.50905e-06,1.50181e-05,0.0,0.0,0.132181,0.0240717,0.53,0.229262425,0.22925479999999998,0.36143575,0.02
COM,2018,-2.79818e-06,5.59637e-06,0.0,0.0,0.135619,0.0240717,0.15,0.09871755,0.0987147,0.23433325,0.02
COM,2019,-5.54324e-06,1.10865e-05,0.0,0.0,0.138477,0.0170353,0.2,0.0984533,0.098447625,0.2369245,0.02
COM,2020,-5.83722e-06,1.16744e-05,0.0,0.0,0.113958,0.0170353,0.36,0.19101825,0.1910125,0.3049705,0.02
COM,mean,-5.83722e-06,1.16744e-05,0.0,0.0,0.128229,0.0199363,0.76,0.08502615000000001,0.085020475,0.2132499,0.02
CPV,2015,-1.93284e-05,3.86567e-05,0.253492,0.0760476,0.981415,0.0496247,0.13,-0.4344075,-0.18093475,0.80047875,0.04
CPV,2016,-2.43781e-05,4.87563e-05,0.253492,0.0760476,1.00828,0.054439,1.27,0.22701525,0.480483525,1.48876675,0.04
CPV,2017,-2.46103e-05,4.92206e-05,0.253492,0.0760476,1.05546,0.0585127,-0.93,-0.005351250000000002,0.24811699999999998,1.30357425,0.04
CPV,2018,-9.17082e-06,1.83416e-05,0.253492,0.0760476,1.07732,0.0585127,-0.46,-0.22334674999999998,0.030135250000000002,1.10745175,0.04
CPV,2019,-1.81675e-05,3.6335e-05,0.253492,0.0760476,1.09399,0.0496247,-0.57,0.16028225000000001,0.41375517500000003,1.507742,0.04
CPV,2020,-1.9131e-05,3.82621e-05,0.253492,0.0760476,0.802168,0.0496247,0.15,0.214545,0.46801712500000003,1.27018575,0.04
CPV,mean,-1.9131e-05,3.82621e-05,0.253492,0.0760476,1.0031,0.0533897,-0.12,0.09553575000000003,0.3490103,1.352114,0.04
CRI,2015,-5.99607,9.62704,-0.545865,-0.16376,13.1883,0.746962,-0.42,1.0599755,-5.48196,7.7063375,0.0975
CRI,2016,-5.94321,9.73276,-0.545865,-0.16376,13.1125,0.799179,0.17,4.896930000000001,-1.5921447499999999,11.520349999999999,0.0975
CRI,2017,-6.11155,9.39609,-0.545865,-0.16376,13.0874,0.838064,0.17,1.0735650000000003,-5.583842499999999,7.5035925,0.0975
CRI,2018,-6.10319,9.4128,-0.545865,-0.16376,13.3661,0.838064,0.11,-0.05272750000000004,-6.701785,6.6643,0.0975
CRI,2019,-6.05242,9.51435,-0.545865,-0.16376,13.7092,0.746962,0.04,2.9564475,-3.64183125,10.067432499999999,0.0975
CRI,2020,-6.04129,9.53661,-0.545865,-0.16376,12.5895,0.746962,0.26,5.19163,-1.3955374999999997,11.1939575,0.0975
CRI,mean,-6.04129,9.53661,-0.545865,-0.16376,13.1755,0.786033,0.33,2.081045,-4.5061015,8.6693855,0.0975
CUB,2015,-4.08543,0.330883,3.54607,1.06382,22.4742,2.15032,0.41,42.3793,41.83995,64.3141,-0.0225
CUB,2016,-6.46868,4.4356,3.54607,1.06382,22.3887,2.07244,0.25,19.62178,16.6991775,39.0879,-0.0225
CUB,2017,-6.43187,4.36199,3.54607,1.06382,22.4,1.85809,0.03,22.639,19.7532,42.153175000000005,-0.0225
CUB,2018,-5.41045,2.31916,3.54607,1.06382,22.8613,1.85809,0.11,26.297075,24.432705000000002,47.293949999999995,-0.0225
CUB,2019,-4.40749,0.313229,3.54607,1.06382,23.4187,2.15032,0.5,23.54974,22.6882875,46.10705,-0.0225
CUB,2020,-5.36079,2.35217,3.54607,1.06382,20.8878,2.15032,0.22,39.08325,37.268525,58.1563,-0.0225
CUB,mean,-5.36079,2.35217,3.54607,1.06382,22.4051,2.03993,0.37,35.378425,33.5637,55.9688,-0.0225
CYP,2015,-0.442675,0.62992,1.05297,0.315891,10.9756,0.6666,0.21,-0.7011691499999999,-0.09087425,10.884725000000001,0.04
CYP,2016,-0.343127,0.430825,1.05297,0.315891,11.4799,0.700671,0.38,-0.16875975000000001,0.541082675,12.02095,0.04
CYP,2017,-0.33705,0.418671,1.05297,0.315891,11.9384,0.716965,0.55,-0.32000575,0.395913775,12.3343,0.04
CYP,2018,-0.258909,0.262389,1.05297,0.315891,12.2205,0.716965,0.44,-0.7191065000000001,0.0749533,12.295425,0.04
CYP,2019,-0.356147,0.456865,1.05297,0.315891,12.836,0.6666,0.0,-1.09262,-0.3957965,12.440150000000001,0.04
CYP,2020,-0.347582,0.439734,1.05297,0.315891,11.6939,0.6666,0.54,-0.258840725,0.44654725,12.140450000000001,0.04
CYP,mean,-0.347582,0.439734,1.05297,0.315891,11.8574,0.689067,0.45,-0.636715,0.06867300000000001,11.92605,0.04
CZE,2015,-2.45341,2.17393,-3.6986,-1.10958,110.836,7.35286,0.1,-14.3004675,-20.4525,90.383975,0.365
CZE,2016,-2.36641,1.99994,-3.6986,-1.10958,114.496,7.52896,-0.45,-30.575425000000003,-36.64042500000001,77.85575,0.365
CZE,2017,-2.25848,1.78408,-3.6986,-1.10958,113.48,7.44349,0.37,-33.608975,-39.566075,73.914425,0.365
CZE,2018,-2.39482,2.05677,-3.6986,-1.10958,113.496,7.44349,-0.48,-30.150374999999997,-36.24385,77.251825,0.365
CZE,2019,-1.90126,1.06965,-3.6986,-1.10958,108.438,7.35286,-0.22,-31.2967,-36.896525,71.5414,0.365
CZE,2020,-2.27488,1.81687,-3.6986,-1.10958,101.681,7.35286,-0.15,-25.960375,-31.933875,69.7474,0.365
CZE,mean,-2.27488,1.81687,-3.6986,-1.10958,110.405,7.41242,0.21,-28.84055,-34.81405,75.59065,0.365
DEU,2015,-16.0842,16.4669,18.3229,5.49688,760.76,14.4769,0.28,-116.45602499999998,-114.21719999999999,646.542,0.5825
DEU,2016,-15.2091,14.7167,18.3229,5.49688,766.846,14.4878,-0.2,-161.62075,-158.50725,608.3387499999999,0.5825
DEU,2017,-14.7305,13.7595,18.3229,5.49688,757.004,14.3672,0.2,-159.75525,-156.163,600.8407500000001,0.5825
DEU,2018,-15.4469,15.1922,18.3229,5.49688,730.06,14.3672,-0.11,-129.141225,-126.26520000000001,603.79475,0.5825
DEU,2019,-11.8933,8.08499,18.3229,5.49688,681.985,14.4769,0.16,-139.629125,-133.19920000000002,548.78575,0.5825
DEU,2020,-14.6728,13.6441,18.3229,5.49688,627.65,14.4769,0.87,-175.60255,-171.952525,455.69725,0.5825
DEU,mean,-14.6728,13.6441,18.3229,5.49688,720.717,14.4421,0.25,-143.754425,-140.10415,580.613,0.5825
DJI,2015,-0.501024,0.819397,2.52587,0.757762,0.414514,0.0451807,0.09,-1.474345,0.5505035,0.96501675,-0.0175
DJI,2016,-0.518695,0.784056,2.52587,0.757762,0.421176,0.0403663,0.08,-1.5196975,0.48748175000000005,0.9086585,-0.0175
DJI,2017,-0.567335,0.686775,2.52587,0.757762,0.444768,0.0385147,0.07,-1.6351849999999999,0.323355,0.7681227500000001,-0.0175
DJI,2018,-0.526713,0.76802,2.52587,0.757762,0.448664,0.0385147,0.13,-1.71492,0.2842406,0.7329052500000001,-0.0175
DJI,2019,-0.52133,0.778787,2.52587,0.757762,0.449794,0.0451807,0.06,-1.7166975,0.2878475,0.73764075,-0.0175
DJI,2020,-0.527019,0.767407,2.52587,0.757762,0.231863,0.0451807,0.05,-1.719295,0.2795575,0.5114205,-0.0175
DJI,mean,-0.527019,0.767407,2.52587,0.757762,0.401797,0.0421563,0.07,-1.5879675,0.41088749999999996,0.8126840000000001,-0.0175
DMA,2015,-1.93791e-06,3.87582e-06,0.018776,0.0056328,0.308433,0.017776,-0.08,-0.153824,-0.13505,0.173383,-0.005000000000000001
DMA,2016,-2.44421e-06,4.88842e-06,0.018776,0.0056328,0.308113,0.0181463,0.24,-0.07983970000000001,-0.06106615,0.24704625000000002,-0.005000000000000001
DMA,2017,-2.46749e-06,4.93498e-06,0.018776,0.0056328,0.308491,0.0162947,-0.13,-0.13503925,-0.11626550000000001,0.1922255,-0.005000000000000001
DMA,2018,-9.19489e-07,1.83898e-06,0.018776,0.0056328,0.314608,0.0162947,-0.12,-0.14238552499999999,-0.123610525,0.19099775,-0.005000000000000001
DMA,2019,-1.82152e-06,3.64304e-06,0.018776,0.0056328,0.321942,0.017776,0.05,-0.084019775,-0.065245575,0.25669600000000004,-0.005000000000000001
DMA,2020,-1.91812e-06,3.83625e-06,0.018776,0.0056328,0.282224,0.017776,0.38,-0.03078415,-0.012010114999999995,0.270214,-0.005000000000000001
DMA,mean,-1.91812e-06,3.83625e-06,0.018776,0.0056328,0.307302,0.0173439,-0.08,-0.10919282500000001,-0.0904186,0.21688325,-0.005000000000000001
DNK,2015,-2.568,3.69691,3.70302,1.11091,34.0145,0.61534,0.29,-13.507357500000001,-12.372352500000002,21.642125,0.115
DNK,2016,-2.3953,3.35152,3.70302,1.11091,35.4806,0.63778,-1.28,-13.185324999999999,-11.877595000000001,23.60295,0.115
DNK,2017,-2.32594,3.2128,3.70302,1.11091,35.271,0.635433,-0.11,-16.287925,-14.910824999999999,20.36015,0.115
DNK,2018,-2.44201,3.44494,3.70302,1.11091,34.7292,0.635433,-0.02,-8.9338075,-7.672797500000001,27.056449999999998,0.115
DNK,2019,-1.77955,2.12001,3.70302,1.11091,32.689,0.61534,-0.49,-15.893975,-13.970475,18.718525000000003,0.115
DNK,2020,-2.30216,3.16523,3.70302,1.11091,29.2418,0.61534,0.11,-14.30265,-12.901774999999999,16.340025,0.115
DNK,mean,-2.30216,3.16523,3.70302,1.11091,33.571,0.625778,-0.41,-14.243725000000001,-12.842849999999999,20.728175,0.115
DOM,2015,-2.68371,2.24936,3.25813,0.97744,18.4618,2.36865,0.41,12.515889999999999,13.0903275,31.552175000000005,0.049999999999999996
DOM,2016,-3.63156,0.353657,3.25813,0.97744,18.3538,2.48383,0.5,21.98345,21.610025,39.963775,0.049999999999999996
DOM,2017,-3.61692,0.382933,3.25813,0.97744,18.3126,2.44901,0.65,15.38782,15.029050000000002,33.34165,0.049999999999999996
DOM,2018,-3.21069,1.19539,3.25813,0.97744,18.708,2.44901,0.92,7.5464150000000005,7.59385,26.30185,0.049999999999999996
DOM,2019,-2.81179,1.99318,3.25813,0.97744,19.1949,2.36865,0.31,4.103095,4.549452499999999,23.7443,0.049999999999999996
DOM,2020,-3.19093,1.2349,3.25813,0.97744,17.6155,2.36865,0.28,12.478197999999999,12.545398500000001,30.160875000000004,0.049999999999999996
DOM,mean,-3.19093,1.2349,3.25813,0.97744,18.4411,2.41464,0.44,12.429695,12.496895,30.937974999999998,0.049999999999999996
DZA,2015,-3.09913,2.83326,22.6579,6.79737,158.146,7.09066,-0.57,-36.666425000000004,-17.1076525,141.0385,0.0925
DZA,2016,-2.43455,4.16242,22.6579,6.79737,157.112,6.99208,-0.83,-26.211225,-5.9878675,151.124,0.0925
DZA,2017,-2.69472,3.64207,22.6579,6.79737,162.782,7.28039,-0.37,-30.477325,-10.5141575,152.2685,0.0925
DZA,2018,-2.67177,3.68797,22.6579,6.79737,174.014,7.28039,-0.86,-39.89455,-19.908414999999998,154.106,0.0925
DZA,2019,-2.5743,3.88291,22.6579,6.79737,182.175,7.09066,-0.26,-34.874025,-14.7904275,167.385,0.0925
DZA,2020,-2.69489,3.64172,22.6579,6.79737,167.774,7.09066,0.19,-15.897682499999998,4.0653175,171.83925,0.0925
DZA,mean,-2.69489,3.64172,22.6579,6.79737,167.001,7.13747,-0.5,-31.245825000000004,-11.282822500000002,155.718,0.0925
ECU,2015,-17.5691,1.57128,-0.868773,-0.260632,42.0729,1.91031,-2.61,-59.693349999999995,-78.13130000000001,-36.05845,0.37
ECU,2016,-16.254,4.20136,-0.868773,-0.260632,41.5591,1.85207,-1.41,-17.953775000000004,-35.076575000000005,6.482518500000001,0.37
ECU,2017,-19.5076,2.3058,-0.868773,-0.260632,41.3215,1.84155,-1.59,-64.5272775,-84.90367499999999,-43.58217500000001,0.37
ECU,2018,-17.7976,1.11417,-0.868773,-0.260632,44.4084,1.84155,-1.6,-39.8701,-58.536575,-14.128049999999996,0.37
ECU,2019,-17.5772,1.55503,-0.868773,-0.260632,42.3799,1.91031,-1.49,-23.623675000000002,-42.069675000000004,0.31022500000000264,0.37
ECU,2020,-17.7411,2.14953,-0.868773,-0.260632,39.3128,1.91031,-0.42,-19.8533375,-38.46325,0.8495832499999985,0.37
ECU,mean,-17.7411,2.14953,-0.868773,-0.260632,41.8424,1.87769,-1.71,-32.497325000000004,-51.107175,-9.26475,0.37
EGY,2015,-3.28229,6.36214,32.9963,9.89889,227.302,22.46,0.21,-25.918425,3.79559,231.09774999999996,0.11499999999999999
EGY,2016,-2.93415,5.66586,32.9963,9.89889,242.72,23.8735,0.36,-26.35715,3.7049874999999997,246.42475,0.11499999999999999
EGY,2017,-3.21682,6.2312,32.9963,9.89889,258.185,25.5541,-0.57,-26.493075,3.2863915,261.47175,0.11499999999999999
EGY,2018,-3.88692,7.57141,32.9963,9.89889,259.006,25.5541,0.21,-28.4311,0.678285,259.68475,0.11499999999999999
EGY,2019,-3.90347,7.60451,32.9963,9.89889,254.651,22.46,0.03,-29.56535,-0.472477,254.17825000000002,0.11499999999999999
EGY,2020,-3.44473,6.68702,32.9963,9.89889,235.87,22.46,-0.07,-28.6502,0.9013775000000002,236.77125,0.11499999999999999
EGY,mean,-3.44473,6.68702,32.9963,9.89889,246.289,23.7269,0.22,-28.437425,1.114175,247.40324999999999,0.11499999999999999
ERI,2015,-2.5109,4.34405,0.0,0.0,1.27883,0.0662897,0.75,17.5471925,15.036292500000002,16.315125000000002,0.0675
ERI,2016,-2.50186,4.36213,0.0,0.0,1.30726,0.06666,0.66,9.16647,6.664605,7.971877500000001,0.0675
ERI,2017,-2.53016,4.30553,0.0,0.0,1.37402,0.069993,1.01,12.0497975,9.5196575,10.8936625,0.0675
ERI,2018,-2.55572,4.2544,0.0,0.0,1.40169,0.069993,0.61,10.624085000000001,8.06834,9.4700275,0.0675
ERI,2019,-2.59608,4.17367,0.0,0.0,1.42221,0.0662897,0.74,8.95594,6.3598550000000005,7.7820625,0.0675
ERI,2020,-2.53894,4.28795,0.0,0.0,1.01579,0.0662897,1.04,9.983604999999999,7.4446725,8.460465,0.0675
ERI,mean,-2.53894,4.28795,0.0,0.0,1.29997,0.0675858,1.1,12.284495,9.7455525,11.045515000000002,0.0675
ESP,2015,-16.3212,12.4551,22.6428,6.79283,270.849,5.04365,-1.26,-108.9820125,-102.66011,168.189,0.5625
ESP,2016,-17.2724,14.3576,22.6428,6.79283,266.677,4.91751,0.04,-144.167,-138.79649999999998,127.88085,0.5625
ESP,2017,-12.2004,4.21352,22.6428,6.79283,288.151,5.35971,-0.9,-130.079075,-119.636625,168.513775,0.5625
ESP,2018,-19.579,18.9708,22.6428,6.79283,282.268,5.35971,-0.78,-131.7642,-128.70075,153.567025,0.5625
ESP,2019,-14.4434,8.69962,22.6428,6.79283,269.746,5.04365,-1.2,-124.4230525,-116.22346999999999,153.5225,0.5625
ESP,2020,-15.9633,11.7393,22.6428,6.79283,231.255,5.04365,-1.15,-74.33796000000001,-67.658365,163.59675,0.5625
ESP,mean,-15.9633,11.7393,22.6428,6.79283,268.158,5.12798,-1.27,-115.18192499999999,-108.50280000000001,159.655,0.5625
EST,2015,-0.771023,0.340604,-0.425575,-0.127673,20.1398,1.20743,0.03,-10.0753625,-11.2719625,8.8678025,0.195
EST,2016,-0.643879,0.0863155,-0.425575,-0.127673,21.0271,1.28151,-0.54,-11.2813975,-12.350859999999999,8.676225,0.195
EST,2017,-0.854319,0.507195,-0.425575,-0.127673,21.4857,1.28314,0.54,-10.41773,-11.697614999999999,9.788129999999999,0.195
EST,2018,-0.956338,0.711235,-0.425575,-0.127673,22.4364,1.28314,-0.18,-12.452825,-13.834725,8.601719999999998,0.195
EST,2019,-0.718861,0.23628,-0.425575,-0.127673,23.9917,1.20743,-0.79,-19.406225,-20.550625,3.441062,0.195
EST,2020,-0.788884,0.376326,-0.425575,-0.127673,22.297,1.20743,0.3,-12.026,-13.2404,9.05659,0.195
EST,mean,-0.788884,0.376326,-0.425575,-0.127673,21.8963,1.24501,-0.43,-14.453299999999999,-15.6678,6.2285,0.195
ETH,2015,-11.8944,8.31778,1.64706,0.494119,4.5882,1.28876,1.68,559.17575,548.9286500000001,553.5167,0.43250000000000005
ETH,2016,-12.7125,6.6817,1.64706,0.494119,4.7292,1.46097,1.85,610.6925,599.6267499999999,604.356,0.43250000000000005
ETH,2017,-15.4985,1.10959,1.64706,0.494119,4.93177,1.60614,1.34,435.30224999999996,421.450875,426.382575,0.43250000000000005
ETH,2018,-13.5454,5.01595,1.64706,0.494119,5.08107,1.60614,1.26,280.725275,268.82669999999996,273.90772499999997,0.43250000000000005
ETH,2019,-13.1909,5.72491,1.64706,0.494119,5.21076,1.28876,1.88,394.78925,383.24537499999997,388.456325,0.43250000000000005
ETH,2020,-13.3683,5.36999,1.64706,0.494119,4.69875,1.28876,1.11,321.41902500000003,309.69795,314.39665,0.43250000000000005
ETH,mean,-13.3683,5.36999,1.64706,0.494119,4.87329,1.42325,1.37,424.011825,412.290525,417.16384999999997,0.43250000000000005
FIN,2015,-6.8392,2.87273,1.15114,0.345343,45.4,1.44255,-1.25,-7.457792499999999,-13.145812500000002,32.254200000000004,0.445
FIN,2016,-6.28375,1.76184,1.15114,0.345343,48.7196,1.53959,-1.51,-45.781,-50.9136,-2.194000000000001,0.445
FIN,2017,-6.73431,2.66295,1.15114,0.345343,44.9865,1.42352,-1.26,-19.21967,-24.802862,20.183618425,0.445
FIN,2018,-7.19313,3.5806,1.15114,0.345343,46.6444,1.42352,0.23,-63.113775,-69.15575000000001,-22.5113,0.445
FIN,2019,-6.239,1.67232,1.15114,0.345343,42.0142,1.44255,-1.57,-73.80605,-78.893925,-36.879737500000005,0.445
FIN,2020,-6.65788,2.51009,1.15114,0.345343,39.1304,1.44255,-0.29,-76.80265,-82.3094,-43.179,0.445
