

year,riverEmissions,River unc (TgCO2),woodCropEmissions,Wood+Crop unc (TgCO2),fossilFuelEmissions,FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),netBiosphereEmissions,netCarbonEmissions,Mean FUR,isoa2,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon
2019,0.368545101327596,-0.4022230053145886,0.13532195044717135,0.13532210444686002,-0.331883442405061,-0.36053469570005614,0.24177865010724658,0.016408694351833706,0.10201333854439201,-0.3324423604239294,-0.4824263359698956,AZ,-0.23664509468500794,-0.2531264371243758,-0.32838266876097644,-0.46550639892471624,-0.31533402672836025,-0.23959233684088452
2020,0.3685159750276713,-0.402416405613921,0.13532195044717135,0.13532210444686002,-0.3351433122418648,-0.36053469570005614,1.5672819575536114,0.05555935980513208,0.13999464459249097,-0.3090332448221276,-0.4824263359698956,AZ,-0.23978043076149358,-0.249828772206396,-0.3312717926673885,-0.4657834281002181,-0.3159038183839964,-0.24488589891465107
2015,0.3524142935155082,-0.4134140567530157,0.11009846080033506,0.11009867290353102,-0.3738415065441861,-0.42251923142660835,1.8256427717168862,0.11351792903420005,0.1908795953492197,-0.31967185516046176,-0.31283590144632567,BJ,-0.3098461416109156,-0.3717453014746204,-0.28833042285434896,0.13777633518857063,-0.33098006494754467,-0.29248169375049154
2016,0.3479459114531656,-0.431356769523577,0.11009846080033506,0.11009867290353102,-0.3737665739652726,-0.42066380962647554,1.7694773773335655,0.14948458212655294,0.22486869490535255,-0.2950626605425535,-0.31283590144632567,BJ,-0.2640833392807818,-0.37176748199945414,-0.28286096555698215,0.07437018705856623,-0.3238537855223571,-0.28990604662475034
2017,0.348944282531681,-0.43644027743071484,0.11009846080033506,0.11009867290353102,-0.3736576070798263,-0.418681910908041,2.6568906085900306,0.1254234492369179,0.20172563028353943,-0.3116232388763379,-0.31283590144632567,BJ,-0.26197671401940165,-0.3719703254347233,-0.28085119589159174,0.04713743507095131,-0.31965307572944707,-0.2893419162770443
2018,0.35033716353265515,-0.4271973358309747,0.11009846080033506,0.11009867290353102,-0.3735771125186036,-0.418681910908041,1.2415226701303523,0.08236826380953521,0.16023319673570924,-0.3414545938010544,-0.31283590144632567,BJ,-0.2764814436669406,-0.372366402223192,-0.281436526761345,-0.12648667511286008,-0.31797774928025857,-0.2879732344723482
2019,0.34911686871697684,-0.43529524969446326,0.11009846080033506,0.11009867290353102,-0.3735070109838725,-0.42251923142660835,2.6568906085900306,0.09875744666057927,0.17588714511346154,-0.3300771718175475,-0.31283590144632567,BJ,-0.28070684025431974,-0.37237765058208355,-0.28089405471584955,-0.2081436164833804,-0.310432050324242,-0.2887019165247593
2020,0.3497516849007495,-0.4287407460629017,0.11009846080033506,0.11009867290353102,-0.37377252425846175,-0.42251923142660835,1.084259565857055,0.11228003362328537,0.1891369624374421,-0.32084444794937567,-0.31283590144632567,BJ,-0.2994130527841607,-0.37244319104092594,-0.27944076177034216,-0.21559898739682276,-0.3109388647331632,-0.28937601892069703
2015,0.30854178035695445,-0.15894028139182473,0.08455980105060816,0.08455989847061271,-0.37324245706557474,-0.43007792817199353,1.1179588024870473,0.14963619975931075,0.21489957926548275,-0.3016125335540663,-0.32588131948660026,BF,-0.25250047269008813,-0.21505841538810258,-0.16773496723257433,-0.41453219914761863,-0.32954492583505574,-0.29797699149737944
2016,0.26418903566072904,0.1353707322935138,0.08455980105060816,0.08455989847061271,-0.3731522433114462,-0.4298354500288258,1.6346804308135963,0.209437255518495,0.263903579152075,-0.26615372858049885,-0.32588131948660026,BF,-0.27081225693604916,-0.20565268960976368,-0.16601385793103618,-0.4058589984950286,-0.3245999723205328,-0.2992243183478245
2017,0.2761338665094819,0.056111371058949054,0.08455980105060816,0.08455989847061271,-0.37301349069732953,-0.42823306746497125,2.3985297944267554,0.17551536177111268,0.23341878635400243,-0.28797375955853755,-0.32588131948660026,BF,-0.2771695587378067,-0.20769574475778438,-0.16387654974163238,-0.38906774638225283,-0.3272461895229546,-0.29735795368160195
2018,0.2985292099613446,-0.09250032627281105,0.08455980105060816,0.08455989847061271,-0.37290912643790086,-0.42823306746497125,0.9157633827070931,0.10897628745175003,0.17341163476808139,-0.33113133006703055,-0.32588131948660026,BF,-0.25085644985565525,-0.205740210377934,-0.16238311177063894,-0.3826909153524976,-0.31949915338018164,-0.29698223469361085
2019,0.2971732845011512,-0.08350342019112346,0.08455980105060816,0.08455989847061271,-0.3728177363302244,-0.43007792817199353,0.9831618559670778,0.10962954239600974,0.17376969343982648,-0.33076127103471187,-0.32588131948660026,BF,-0.2415172066786628,-0.20367583393301633,-0.16038862035596005,-0.3699254581912211,-0.3159530874944452,-0.2976825260972411
2020,0.28891343539793224,-0.02869086803556644,0.08455980105060816,0.08455989847061271,-0.37309565271115414,-0.43007792817199353,0.8146656728171162,0.20571501493496439,0.2653203176563452,-0.2650629731205041,-0.32588131948660026,BF,-0.25009236700931686,-0.20329255909562868,-0.15855566678390318,-0.37179535791532226,-0.31375274049736596,-0.29715411721779683
2015,0.24751713396416825,-0.04256070322788352,0.43049159764448824,0.4304927736780263,-0.2891101995199327,-0.1999434539923109,-0.3872737669859436,0.0043341333899892896,0.08998591095943308,-0.28878905263199633,-0.13020004888248096,BD,0.3649766520001644,-0.34238806568101426,0.06106337645944335,0.25738484801544365,1.0285578500406267,-0.05380720003469471
2016,0.2507402666961816,-0.02117606555497177,0.43049159764448824,0.4304927736780263,-0.2838552112239928,-0.1868607931520859,-0.4771383979992565,-0.016549672059396985,0.07037815998877169,-0.29650394860490037,-0.13020004888248096,BD,0.28781581388726457,-0.3463195091409247,0.09717987628532278,0.24823416897198858,1.0138333514983418,-0.054354081208060144
