IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.d,Water-borne Navigation,CH4,fossil,,,,,,,,,,,,,,,,,,,4.39E-06,5.58E-06,0.000113377,0.000129296,6.55E-05,0.00013714,0.000126771,0.000120295,6.83E-05,8.05E-05,6.18E-05,7.08E-05,4.13E-05,3.37E-05,3.48E-05,3.86E-05,3.86E-05,4.27E-05,8.54E-05,9.84E-05,0.00013764,0.000132552,0.000125775,6.41E-05,0.000419332,0.000472741,0.000543338,0.000553043,0.000591441,0.000564428,0.000550669,0.000591746,0.000501664,0.000505371,0.000522669
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.e,Other Transportation,CH4,fossil,,,,,,,,,,,,2.58E-06,2.75E-06,4.58E-06,6.57E-06,6.86E-06,7.14E-06,1.11E-05,7.53E-06,9.57E-06,0.000199243,0.000210209,0.000246249,0.000253471,0.000288427,0.000320156,0.000217175,0.000337459,0.00035595,0.000390902,0.000126821,0.000151802,0.00016287,0.000217794,0.00025234,0.000275264,0.000342822,0.000335604,0.000332807,0.000450325,0.000282463,0.000250586,0.000327063,0.000342832,0.000365447,0.00035092,0.000360287,0.000279814,0.000295771,0.000326816,0.000277478,0.000267388,0.000277478
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,CH4,fossil,2.85E-05,3.27E-05,4.23E-05,4.23E-05,5.33E-05,0.00021719,0.000266797,0.000288782,0.000308801,0.000329199,0.000341467,0.000350719,0.000382691,0.000428086,0.000738708,0.00078841,0.00083843,0.000877517,0.00108614,0.001482202,0.001075235,0.001665453,0.001570804,0.001544891,0.001674231,0.001706793,0.001100744,0.001719748,0.001677967,0.001642587,0.000980776,0.000947863,0.000974363,0.001023186,0.00106734,0.00114478,0.001230779,0.001255156,0.001111357,0.001195027,0.001335272,0.001665188,0.003053394,0.005206214,0.003810428,0.003353515,0.003740873,0.003371967,0.004350296,0.004789301,0.004205772,0.004052835,0.004205772
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,CH4,fossil,0.00070308,0.000805796,0.000978782,0.00132759,0.001245872,0.001030321,0.001126828,0.0013868,0.001652949,0.002098019,0.001702323,0.001936327,0.001816699,0.002017679,0.001868668,0.001976704,0.002098599,0.002386895,0.002809716,0.003993823,0.002055991,0.00202175,0.002041162,0.002042245,0.001882958,0.002345644,0.001370943,0.002360752,0.002470702,0.00080785,0.001266449,0.001613803,0.001547267,0.001960236,0.002525046,0.00156521,0.000517331,0.000591797,0.000568904,0.00090758,0.000395157,0.000211187,0.000525542,0.00064185,0.000664007,0.00058441,0.00056838,0.00060911,0.000756352,0.000844442,0.000721883,0.000695633,0.000721883
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.2,Oil and Natural Gas,CH4,fossil,0.000301429,0.000345467,0.00037877,0.000538614,0.000468008,0.000374128,0.000441009,0.000729147,0.000513967,0.000522755,0.00066118,0.0005473,0.000648736,0.000579249,0.000496204,0.000134926,5.51E-05,7.41E-05,7.15E-05,9.43E-05,0.000118517,0.006553971,0.000971937,0.001182663,0.001477934,0.001472617,0.001230391,0.001857972,0.001622116,0.002033629,1.836648341,1.836736241,1.838547148,1.972842202,2.20466141,2.222328661,1.225242262,1.256762864,1.129707748,1.005240414,0.637581312,0.839013538,0.11334075,,,,,,,,,,
Non-Annex_I,Rest Central America,ABW,Aruba,4.A,Solid Waste Disposal,CH4,fossil,0.310026656,0.350206067,0.35239826,0.354618863,0.356221509,0.35692893,0.356485487,0.355133262,0.353460439,0.352493043,0.352866439,0.355249028,0.359462391,0.364277805,0.367985937,0.369227348,0.367199352,0.362569567,0.357963675,0.357079425,0.362708316,0.375586158,0.392900277,0.414149967,0.436069117,0.451728083,0.461093234,0.471207052,0.476026896,0.479055357,0.486938484,0.488647893,0.489209313,0.493419179,0.501325976,0.502867792,0.501607686,0.49916255,0.494201672,0.480276973,0.471522325,0.473467,0.473424949,0.477507863,0.479625116,0.480194043,0.482857539,0.486891717,0.49084274,0.494029198,0.497236342,0.500720068,0.504228201
Non-Annex_I,Rest Central America,ABW,Aruba,4.C,Incineration and Open Burning of Waste,CH4,fossil,0.008598052,0.008691292,0.008786056,0.008876768,0.008955631,0.009018062,0.009060641,0.009087755,0.009111971,0.009150861,0.009216311,0.009320238,0.009459523,0.009613319,0.009750942,0.009853955,0.009903997,0.009917227,0.009949049,0.010077843,0.010355108,0.010805585,0.011402253,0.012073445,0.012715692,0.013254097,0.013660152,0.013956419,0.014177904,0.01438131,0.014741484,0.014867117,0.015141415,0.01541803,0.015673761,0.01589319,0.016121108,0.016335411,0.016549554,0.016755834,0.01696356,0.017158018,0.017354594,0.017514949,0.017675275,0.017834692,0.018012245,0.018190988,0.018370954,0.018464808,0.018559141,0.018704031,0.018850052
Non-Annex_I,Rest Central America,ABW,Aruba,4.D,Wastewater Treatment and Discharge,CH4,fossil,0.31263916,0.314143701,0.315641325,0.317150122,0.31802988,0.318085791,0.317094182,0.315322158,0.313334242,0.31208174,0.312069773,0.314210758,0.317934575,0.322054062,0.325025353,0.32568804,0.323397151,0.318897531,0.314700262,0.314149465,0.319586281,0.332662,0.350646318,0.37155869,0.391989162,0.409396745,0.423347664,0.434094745,0.442655398,0.450709948,0.459358614,0.467062316,0.474924032,0.482304336,0.488036216,0.491554463,0.495543316,0.497503866,0.498213621,0.498772368,0.499900523,0.501153869,0.503759616,0.506874297,0.510059921,0.513030477,0.515206478,0.517271469,0.519244247,0.521195797,0.523240136,0.52565997,0.526616335
Non-Annex_I,India +,AFG,Afghanistan,1.A.1.a,Main Activity Electricity and Heat Production,CH4,bio,3.83E-05,3.92E-05,4.01E-05,3.91E-05,3.92E-05,4.65E-05,4.73E-05,4.75E-05,5.48E-05,0.000243928,0.000244635,0.000242193,0.000245031,0.000241506,0.000239216,0.000239941,0.000232497,0.000234184,0.000239252,0.000247391,0.000257494,0.000264793,0.000282273,0.000303282,0.000325993,0.00058359,0.000623021,0.00048557,0.000503616,,,0.001751675,0.002229741,0.004717967,0.00492356,0.00521504,0.005516137,0.005857337,0.006173033,0.006423317,0.007127853,0.007603279,0.008415243,0.009469723,0.010229587,0.007372588,0.007736556,0.007690887,0.007839135,0.009033326,0.006714222,0.006610018,0.006498301
Non-Annex_I,India +,AFG,Afghanistan,1.A.2,Manufacturing Industries and Construction,CH4,bio,,,,,,,,,,4.08E-05,,0.000161962,0.000262006,0.000662686,0.000650303,0.000576281,0.000210679,0.000450513,0.000260301,0.000594174,0.004069312,0.004316667,0.004486574,0.004786696,0.005314357,0.009727645,0.010286242,0.011144812,0.01165368,0.012682455,0.060149425,0.05816642,0.063155353,0.060940698,0.063580789,0.062299867,0.06542834,0.060619687,0.059133159,0.056098767,0.054094543,0.05776122,0.057488166,0.033330625,0.03908331,0.040833318,0.033644495,0.038565255,0.036631269,0.038983903,0.028468238,0.028987605,0.028987605
Non-Annex_I,India +,AFG,Afghanistan,1.A.4,Residential and other sectors,CH4,bio,0.805540479,0.823796216,0.856216257,0.852943316,0.869936071,0.898182972,0.927011692,0.938996854,0.961793915,0.984489385,1.007282846,0.994349589,0.973615752,0.959194701,0.916863156,0.937132482,0.920439246,0.935337046,0.962390138,0.998600789,1.064403043,1.098165904,1.18030639,1.289352527,1.385258911,2.416926533,3.042920933,3.266588162,3.428341151,3.639298209,3.893502041,3.986640738,4.166774008,4.26757629,4.374433046,4.487157308,4.586283292,4.678133711,4.775217117,4.875755024,4.98553145,5.066490505,5.172824672,5.89090773,6.004538024,6.116811997,6.225421435,6.341790382,6.274290843,6.399521235,6.510334662,6.635308107,6.635308107
Non-Annex_I,India +,AFG,Afghanistan,1.A.5,Non-Specified,CH4,bio,,,,,,,,,,,,,,,,,,0.000624949,0.000638474,0.000660193,0.000755114,0.000854171,0.000910559,0.001138419,0.001309708,0.002344629,0.002503046,0.002835731,0.002941119,0.008293175,0.009709511,0.010645831,0.010884816,0.010954523,0.016420726,0.0114897,0.011633903,0.012068721,0.012387216,0.019167076,0.018967346,0.008847022,0.008909039,0.009014051,0.0079741,0.008775338,0.008940397,0.008167036,0.007144161,0.006504329,0.006882754,0.007043301,0.007043301
Non-Annex_I,India +,AFG,Afghanistan,1.B.1,Solid Fuels,CH4,bio,1.664901397,1.667707458,1.761629683,1.713986565,1.798076587,1.799547096,1.83554891,1.860599638,1.842286913,1.869958546,1.829099275,1.785001071,1.670112354,1.59115632,1.517531914,1.549198828,1.488499775,1.498519369,1.533272882,1.577578476,1.661980812,1.701318133,1.810669717,2.004589636,2.190464497,3.407181556,3.779936756,4.160725754,4.411327725,4.752076552,5.430775442,5.605918262,5.78423853,6.015273384,6.180256257,6.536488483,6.709982137,6.877577811,7.129265324,7.305230061,7.571086265,7.80657728,7.991222776,8.338361072,8.605509437,8.873660036,9.062748384,9.415467074,9.669973619,9.960239195,10.19558648,10.4814216,10.4814216
Non-Annex_I,India +,AFG,Afghanistan,3.C.1,Emissions from biomass burning,CH4,bio,2.327857033,2.275644332,2.698208441,2.735020241,2.77146821,2.848153607,2.912012982,2.703060391,2.809661181,2.681153493,2.571332441,2.46763458,2.365777982,2.269305656,2.17182273,2.064579771,1.96608196,2.179097874,1.94577518,1.858028359,1.782638297,1.821404325,1.710367392,2.011120546,2.116195432,2.135865263,2.19574074,2.419385307,2.51485445,2.175070923,1.517829034,1.528321003,2.298584603,2.83088826,2.306305692,3.336469589,2.888528129,3.49675245,2.488595757,3.907677834,3.585344222,2.927664332,3.872417438,3.944067068,4.100485204,3.536196727,3.39713619,3.026614235,2.555933527,3.444306096,3.736082366,3.49041448,3.58160999
Non-Annex_I,India +,AFG,Afghanistan,1.A.1.a,Main Activity Electricity and Heat Production,CH4,fossil,0.001598785,0.001598785,0.003185778,0.004397584,0.005310991,0.005355246,0.00633697,0.011568579,0.006385827,0.00688148,0.007040213,0.008274858,0.008287458,0.011754919,0.011155622,0.01631398,0.016565299,0.018397567,0.016985723,0.014534687,0.014322438,0.013234537,0.007962804,0.008560911,0.006363575,0.008491463,0.008884316,0.009023663,0.010700863,0.010150051,0.009291745,0.009662967,0.008991927,0.013207848,0.012135209,0.016406479,0.018161354,0.032440961,0.05058113,0.068468982,0.072691589,0.093756908,0.085920714,0.082864478,0.083157548,0.071613565,0.066402005,0.068555634,0.060604385,0.059762285,0.04270072,0.041635214,0.040088954
Non-Annex_I,India +,AFG,Afghanistan,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,CH4,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32E-05,0.0001107,6.01E-05,0.0001905,0.000260446,0.000239519,0.00033054,0.000417345,0.000198451,0.007225509,0.01705096,0.018459841,0.011973127,0.008021975,0.006458717,0.004821655,0.004706854,0.004477251
Non-Annex_I,India +,AFG,Afghanistan,1.A.2,Manufacturing Industries and Construction,CH4,fossil,0.004313174,0.004313174,0.00295581,0.00305623,0.003478601,0.003700652,0.003752649,0.005379144,0.00528334,0.006008325,0.005810769,0.008667312,0.005920827,0.006879698,0.008409848,0.038733421,0.040536072,0.042637274,0.035324956,0.031296175,0.027897402,0.024602881,0.003923482,0.00359045,0.004347267,0.004423923,0.003956645,0.003549556,0.003529802,0.003943023,0.006487663,0.008398875,0.009372616,0.010665163,0.00867983,0.011138781,0.011838359,0.047423191,0.085609529,0.12333396,0.144986975,0.307892627,0.235282647,0.243766637,0.277459821,0.198255912,0.206665152,0.269982963,0.205858399,0.210872906,0.143340042,0.147669656,0.146701868
