Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
ALB,2016,-3.59018,5.51036,-9.95989,8.00242,-7.94527,12.1443,-6.01304,5.54704,-4.49624,5.51036,-10.866,8.00242,-8.85134,12.1443,-6.91911,5.54704,-0.652556,5.5003,-7.02227,7.99549,-5.00765,12.1397,-3.07542,5.53704,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,0.04,0.1,0.05,0.12
ALB,2017,-1.10061,7.45167,-9.03908,3.93254,-6.68925,10.007,-4.15836,6.69426,-1.99429,7.45167,-9.93276,3.93254,-7.58293,10.007,-5.05204,6.69426,1.93718,7.44091,-6.00129,3.91212,-3.65146,9.99903,-1.12056,6.68229,-2.01239,1.79718,1.11871,0.335614,3.93147,0.400217,-0.63,0.04,0.1,0.05,0.12
ALB,2018,-8.26333,6.20027,-5.20331,9.70583,-8.49532,8.00382,-2.87851,4.89171,-8.99772,6.20027,-5.9377,9.70583,-9.22971,8.00382,-3.61291,4.89171,-4.90251,6.18734,-1.84249,9.69758,-5.1345,7.99381,0.4823,4.87531,-1.85311,2.11575,1.11871,0.335614,4.09521,0.400217,0.37,0.04,0.1,0.05,0.12
ALB,2019,-2.02351,5.1562,-3.4719,9.10326,-6.71667,10.9141,-6.79368,4.74763,-2.95613,5.1562,-4.40452,9.10326,-7.64928,10.9141,-7.7263,4.74763,1.40777,5.14527,-0.0406168,9.09707,-3.28538,10.909,-3.3624,4.73575,-2.05133,1.71931,1.11871,0.335614,4.3639,0.335639,-0.22,0.04,0.1,0.05,0.12
ALB,2020,-1.27082,8.05646,-15.9378,6.13899,-9.84273,9.98725,-5.02293,7.87883,-2.18597,8.05646,-16.853,6.13899,-10.7579,9.98725,-5.93808,7.87883,1.72523,8.04947,-12.9418,6.1298,-6.84668,9.98161,-2.02688,7.87167,-2.03387,1.75424,1.11871,0.335614,3.9112,0.335639,-1.87,0.04,0.1,0.05,0.12
ALB,mean,-2.51789,5.49232,-9.1088,6.47683,-9.66311,5.81607,-5.68058,4.6128,-3.43304,5.1938,-10.024,6.2257,-10.5783,5.53504,-6.59574,4.253,0.538121,5.18154,-6.05279,6.21547,-6.60709,5.52353,-2.62457,4.23801,-2.03387,1.75424,1.11871,0.335614,3.97116,0.356713,-1.03,0.04,0.1,0.05,0.12
ARE,2015,-11.2954,11.326,-11.383,11.2965,-11.3546,11.3096,-11.5529,11.3044,0.48009,11.326,0.392422,11.2965,0.420864,11.3096,0.222525,11.3044,248.225,0.934979,248.137,0.455294,248.166,0.709842,247.967,0.620807,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,0.01,-0.06,0.02,-0.02
ARE,2016,-11.6767,10.8138,-11.7785,10.9615,-11.7612,10.8212,-11.7582,10.8183,0.0914779,10.8138,-0.0103695,10.9615,0.00698584,10.8212,0.00995774,10.8183,238.763,0.553968,238.662,1.87667,238.679,0.682908,238.682,0.635042,-0.0533312,0.00379531,11.8215,3.54645,238.672,10.7996,-0.33,0.01,-0.06,0.02,-0.02
ARE,2017,-11.6431,8.84961,-10.9376,8.94349,-10.9334,8.9431,-11.7439,8.86651,0.106625,8.84961,0.812174,8.94349,0.816328,8.9431,0.00583688,8.86651,196.628,0.352299,197.333,1.33958,197.337,1.33698,196.527,0.650788,-0.0717651,0.0330726,11.8215,3.54645,196.521,8.8426,0.85,0.01,-0.06,0.02,-0.02
ARE,2018,-11.619,9.0397,-11.3054,9.45523,-11.4255,9.17425,-11.5633,9.17935,0.143386,9.0397,0.456979,9.45523,0.336828,9.17425,0.199083,9.17935,198.827,1.87742,199.141,3.34812,199.02,2.44445,198.883,2.46351,-0.0591485,0.00783927,11.8215,3.54645,198.684,8.8426,0.55,0.01,-0.06,0.02,-0.02
ARE,2019,-11.6934,11.3314,-11.5334,11.3645,-11.7367,11.8969,-11.7393,11.4781,0.053435,11.3314,0.213448,11.3645,0.0100925,11.8969,0.00755867,11.4781,200.902,0.998755,201.062,1.3219,200.858,3.75927,200.856,2.08432,-0.0746741,0.0388905,11.8215,3.54645,200.848,11.2873,0.61,0.01,-0.06,0.02,-0.02
ARE,2020,-11.6647,11.297,-10.9251,11.3967,-11.3612,11.3595,-11.7006,11.3394,0.0958421,11.297,0.835418,11.3967,0.399317,11.3595,0.0599468,11.3394,187.27,0.467793,188.009,1.57556,187.573,1.27871,187.234,1.08561,-0.0609944,0.0203897,11.8215,3.54645,187.174,11.2873,0.55,0.01,-0.06,0.02,-0.02
ARE,mean,-11.6177,10.9884,-11.748,11.01,-11.3435,11.062,-11.5589,10.9913,0.14284,10.4004,0.0124588,10.4231,0.416968,10.4781,0.201557,10.4034,211.75,0.438359,211.62,0.816223,212.024,1.34742,211.809,0.50472,-0.0609944,0.0203897,11.8215,3.54645,211.607,10.3911,-0.38,0.01,-0.06,0.02,-0.02
ARG,2015,112.047,242.044,-719.161,700.999,-398.645,741.318,47.897,835.261,-41.1207,242.044,-872.328,700.999,-551.813,741.318,-105.27,835.261,156.704,241.266,-674.504,700.731,-353.989,741.064,92.5538,835.036,-39.0733,2.86555,-114.094,-34.2282,197.824,19.3936,-1.15,0.28,0.7,0.72,0.72
ARG,2016,-210.205,367.245,-1096.46,288.668,-991.864,396.966,-253.812,545.195,-363.917,367.245,-1250.17,288.668,-1145.58,396.966,-407.524,545.195,-165.693,366.737,-1051.95,288.022,-947.352,396.496,-209.3,544.854,-39.6176,3.95405,-114.094,-34.2282,198.224,19.3036,-1.71,0.28,0.7,0.72,0.72
ARG,2017,-327.038,315.11,-913.552,470.527,-624.537,582.199,-595.992,678.966,-479.001,315.11,-1065.51,470.527,-776.5,582.199,-747.955,678.966,-285.547,314.54,-872.061,470.145,-583.046,581.891,-554.501,678.702,-37.8692,0.457247,-114.094,-34.2282,193.454,18.9496,-1.51,0.28,0.7,0.72,0.72
ARG,2018,-245.061,217.192,-815.288,552.578,-366.575,657.288,-482.815,403.436,-395.608,217.192,-965.835,552.578,-517.122,657.288,-633.362,403.436,-205.448,216.364,-775.676,552.253,-326.962,657.015,-443.203,402.991,-36.4529,2.37525,-114.094,-34.2282,190.159,18.9496,-1.28,0.28,0.7,0.72,0.72
ARG,2019,-213.24,354.183,-1272.55,558.181,-1186.13,727.737,-623.316,489.948,-363.351,354.183,-1422.66,558.181,-1336.24,727.737,-773.427,489.948,-178.715,353.651,-1238.02,557.844,-1151.6,727.478,-588.791,489.564,-36.0174,3.24623,-114.094,-34.2282,184.636,19.3936,-1.73,0.28,0.7,0.72,0.72
ARG,2020,-418.437,395.979,-878.118,457.886,-976.53,447.187,-84.6341,479.598,-570.337,395.979,-1030.02,457.886,-1128.43,447.187,-236.534,479.598,-399.051,395.504,-858.732,457.475,-957.144,446.766,-65.2483,479.206,-37.8061,2.57966,-114.094,-34.2282,171.286,19.3936,-0.69,0.28,0.7,0.72,0.72
ARG,mean,-184.154,197.942,-1052.83,478.819,-655.32,472.673,-353.524,592.391,-336.054,194.943,-1204.73,477.587,-807.22,471.425,-505.424,591.396,-146.79,193.992,-1015.46,477.2,-617.956,471.033,-316.16,591.083,-37.8061,2.57966,-114.094,-34.2282,189.264,19.2306,-1.52,0.28,0.7,0.72,0.72
ARM,2015,-1.10513,6.28972,-2.19345,5.02838,-0.682782,4.54881,-1.47352,6.21603,-0.245914,6.28972,-1.33424,5.02838,0.176431,4.54881,-0.61431,6.21603,4.96375,6.27879,3.87542,5.0147,5.38609,4.53369,4.59535,6.20497,-0.144247,0.277819,1.00346,0.301038,5.20966,0.370641,-0.21,0.02,0.52,0.38,0.46
ARM,2016,-2.44958,3.94843,0.965936,4.6214,-1.8682,2.92824,-4.50453,3.01112,-1.59104,3.94843,1.82447,4.6214,-1.00967,2.92824,-3.64599,3.01112,3.83921,3.93019,7.25473,4.60583,4.42059,2.9036,1.78426,2.98717,-0.144922,0.276469,1.00346,0.301038,5.43025,0.379053,0.91,0.02,0.52,0.38,0.46
ARM,2017,1.99854,8.65878,-0.0816993,3.7842,-0.139296,6.69231,-0.372901,3.09749,2.85757,8.65878,0.77733,3.7842,0.719733,6.69231,0.486128,3.09749,8.48766,8.64926,6.40742,3.76237,6.34982,6.67999,6.11622,3.07078,-0.144431,0.277451,1.00346,0.301038,5.63009,0.405915,-0.62,0.02,0.52,0.38,0.46
ARM,2018,-2.07327,3.34268,5.23836,7.4769,6.29873,10.6899,2.86862,5.69934,-1.21396,3.34268,6.09767,7.4769,7.15803,10.6899,3.72793,5.69934,4.55365,3.31794,11.8653,7.46588,12.9256,10.6822,9.49554,5.68487,-0.144155,0.278003,1.00346,0.301038,5.76761,0.405915,1.42,0.02,0.52,0.38,0.46
ARM,2019,-4.56071,3.78368,-0.499989,3.07573,-1.9911,2.36742,-3.25467,3.09411,-3.70094,3.78368,0.359776,3.07573,-1.13134,2.36742,-2.39491,3.09411,2.35644,3.76549,6.41715,3.05331,4.92604,2.33823,3.66247,3.07183,-0.143695,0.278923,1.00346,0.301038,6.05738,0.370641,0.89,0.02,0.52,0.38,0.46
ARM,2020,-1.27867,2.42269,2.92284,9.08053,5.81573,9.79211,-0.890523,7.2022,-0.419498,2.42269,3.78201,9.08053,6.6749,9.79211,-0.0313523,7.2022,5.19749,2.39417,9.399,9.07297,12.2919,9.78509,5.58564,7.19266,-0.14429,0.277733,1.00346,0.301038,5.61699,0.370641,0.45,0.02,0.52,0.38,0.46
ARM,mean,-1.64272,2.55883,1.00828,3.80298,1.6295,5.21531,0.360473,3.44798,-0.783547,2.52583,1.86745,3.78086,2.48867,5.1992,1.21964,3.42357,4.83512,2.49651,7.48611,3.76133,8.10733,5.18502,6.83831,3.40199,-0.14429,0.277733,1.00346,0.301038,5.61866,0.383801,0.8,0.02,0.52,0.38,0.46
ATG,2015,-0.185352,0.124838,-0.185947,0.156946,-0.192708,0.131372,-0.0496244,0.192733,-0.14866,0.124838,-0.149256,0.156946,-0.156016,0.131372,-0.0129329,0.192733,0.359568,0.115026,0.358972,0.14926,0.352212,0.122086,0.495295,0.186527,-1.91797e-06,3.83595e-06,0.0366933,0.011008,0.508228,0.0485137,-0.0,0.05,-0.09,0.0,-0.01
