Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
ERI,2015,6.70747,4.13371,20.3917,19.2587,20.262,11.5715,22.8276,18.0976,4.19657,4.13371,17.8808,19.2587,17.7511,11.5715,20.3167,18.0976,5.4754,4.13318,19.1597,19.2586,19.0299,11.5713,21.5955,18.0974,-2.5109,4.34405,0.0,0.0,1.27883,0.0662897,0.75,0.01,0.1,0.07,0.09
ERI,2016,4.03608,3.55059,13.4322,15.4456,10.8832,14.9916,8.3144,19.3671,1.53422,3.55059,10.9303,15.4456,8.38135,14.9916,5.81255,19.3671,2.84148,3.54996,12.2376,15.4455,9.68862,14.9915,7.11981,19.367,-2.50186,4.36213,0.0,0.0,1.30726,0.06666,0.66,0.01,0.1,0.07,0.09
ERI,2017,5.93789,3.79364,18.2667,20.2855,11.6148,20.3953,12.3798,20.9328,3.40773,3.79364,15.7366,20.2855,9.08467,20.3953,9.84963,20.9328,4.78175,3.79299,17.1106,20.2854,10.4587,20.3952,11.2236,20.9327,-2.53016,4.30553,0.0,0.0,1.37402,0.069993,1.01,0.01,0.1,0.07,0.09
ERI,2018,4.76354,3.72169,12.0435,14.2959,11.5764,12.6533,14.1129,22.3581,2.20782,3.72169,9.48774,14.2959,9.0207,12.6533,11.5571,22.3581,3.60951,3.72103,10.8894,14.2957,10.4224,12.6531,12.9588,22.358,-2.55572,4.2544,0.0,0.0,1.40169,0.069993,0.61,0.01,0.1,0.07,0.09
ERI,2019,4.05796,4.00368,15.8383,25.517,8.16092,21.9906,7.76658,26.8003,1.46188,4.00368,13.2422,25.517,5.56484,21.9906,5.1705,26.8003,2.88409,4.00313,14.6644,25.5169,6.98705,21.9905,6.59271,26.8002,-2.59608,4.17367,0.0,0.0,1.42221,0.0662897,0.74,0.01,0.1,0.07,0.09
ERI,2020,5.57299,4.45925,18.7416,18.2414,8.41969,21.1816,7.20014,23.7107,3.03405,4.45925,16.2027,18.2414,5.88074,21.1816,4.6612,23.7107,4.04984,4.45875,17.2185,18.2412,6.89653,21.1815,5.67699,23.7106,-2.53894,4.28795,0.0,0.0,1.01579,0.0662897,1.04,0.01,0.1,0.07,0.09
ERI,mean,5.92338,5.40457,20.7278,16.0231,10.3866,14.3547,12.1002,19.4656,3.38444,3.2898,18.1888,15.4387,7.84769,13.6993,9.56128,18.9874,4.6844,3.28911,19.4888,15.4385,9.14766,13.6991,10.8612,18.9873,-2.53894,4.28795,0.0,0.0,1.29997,0.0675858,1.1,0.01,0.1,0.07,0.09
ESP,2015,1.08495,102.316,-120.495,125.056,-144.075,78.6964,-172.443,173.968,7.40656,102.316,-114.173,125.056,-137.753,78.6964,-166.121,173.968,278.256,102.192,156.676,124.954,133.096,78.5346,104.728,173.894,-16.3212,12.4551,22.6428,6.79283,270.849,5.04365,-1.26,0.5,0.47,0.64,0.64
ESP,2016,-120.265,74.8464,-117.96,73.8887,-163.043,61.9208,-175.4,182.95,-114.895,74.8464,-112.589,73.8887,-157.672,61.9208,-170.03,182.95,151.783,74.6847,154.088,73.7249,109.005,61.7252,96.6474,182.884,-17.2724,14.3576,22.6428,6.79283,266.677,4.91751,0.04,0.5,0.47,0.64,0.64
ESP,2017,-89.4146,46.0383,-199.11,99.614,-158.231,103.266,-73.5607,99.4769,-78.9722,46.0383,-188.667,99.614,-147.789,103.266,-63.1183,99.4769,209.178,45.7252,99.4831,99.4697,140.362,103.127,225.032,99.3324,-12.2004,4.21352,22.6428,6.79283,288.151,5.35971,-0.9,0.5,0.47,0.64,0.64
ESP,2018,-38.9348,138.639,-155.626,67.8134,-144.99,85.2706,-187.506,174.359,-35.871,138.639,-152.563,67.8134,-141.927,85.2706,-184.442,174.359,246.397,138.535,129.705,67.6012,140.341,85.102,97.8251,174.276,-19.579,18.9708,22.6428,6.79283,282.268,5.35971,-0.78,0.5,0.47,0.64,0.64
ESP,2019,-6.82021,111.824,-161.101,98.936,-152.403,86.6723,-177.368,215.054,1.37912,111.824,-152.901,98.936,-144.203,86.6723,-169.169,215.054,271.125,111.71,116.845,98.8074,125.543,86.5254,100.577,214.995,-14.4434,8.69962,22.6428,6.79283,269.746,5.04365,-1.2,0.5,0.47,0.64,0.64
ESP,2020,1.31266,85.1242,-101.113,88.88,-89.9025,114.721,-107.649,102.268,7.99214,85.1242,-94.4336,88.88,-83.223,114.721,-100.969,102.268,239.247,84.9747,136.822,88.7368,148.032,114.61,130.286,102.144,-15.9633,11.7393,22.6428,6.79283,231.255,5.04365,-1.15,0.5,0.47,0.64,0.64
ESP,mean,-34.8777,50.5838,-153.703,93.5011,-129.832,89.1497,-142.315,165.601,-28.1982,48.7316,-147.024,92.5122,-123.153,88.112,-135.636,165.044,239.959,48.461,121.134,92.3699,145.005,87.9626,132.522,164.965,-15.9633,11.7393,22.6428,6.79283,268.158,5.12798,-1.27,0.5,0.47,0.64,0.64
EST,2015,-9.6096,14.5655,-8.78987,11.2075,-7.34518,11.2594,-14.5568,12.9632,-10.8062,14.5655,-9.98647,11.2075,-8.54178,11.2594,-15.7534,12.9632,9.33357,14.5153,10.1533,11.1422,11.598,11.1945,4.38634,12.9069,-0.771023,0.340604,-0.425575,-0.127673,20.1398,1.20743,0.03,0.15,0.21,0.27,0.15
EST,2016,-10.618,8.78584,-18.0038,10.8059,-2.80849,13.6396,-13.6953,14.2375,-11.6875,8.78584,-19.0733,10.8059,-3.87794,13.6396,-14.7647,14.2375,9.33962,8.69188,1.95384,10.7296,17.1491,13.5793,6.26234,14.1797,-0.643879,0.0863155,-0.425575,-0.127673,21.0271,1.28151,-0.54,0.15,0.21,0.27,0.15
EST,2017,-14.5678,9.29175,-7.30906,8.60077,-9.74976,11.2055,-10.0443,9.31391,-15.8477,9.29175,-8.58896,8.60077,-11.0296,11.2055,-11.3242,9.31391,5.63802,9.20273,12.8968,8.50451,10.4561,11.1318,10.1616,9.2251,-0.854319,0.507195,-0.425575,-0.127673,21.4857,1.28314,0.54,0.15,0.21,0.27,0.15
EST,2018,-11.47,11.0157,-14.5362,10.1589,-13.3048,15.1673,-10.5003,24.161,-12.8519,11.0157,-15.9181,10.1589,-14.6867,15.1673,-11.8822,24.161,9.58452,10.9407,6.51831,10.0775,7.74975,15.113,10.5543,24.1269,-0.956338,0.711235,-0.425575,-0.127673,22.4364,1.28314,-0.18,0.15,0.21,0.27,0.15
EST,2019,-15.1845,9.38238,-22.0861,13.4503,-19.1211,5.88079,-21.2332,15.801,-16.3289,9.38238,-23.2305,13.4503,-20.2655,5.88079,-22.3776,15.801,7.6628,9.30436,0.761168,13.396,3.72617,5.7555,1.61411,15.7548,-0.718861,0.23628,-0.425575,-0.127673,23.9917,1.20743,-0.79,0.15,0.21,0.27,0.15
EST,2020,-13.3942,7.14247,-11.3499,11.6102,-11.463,8.33525,-11.8969,9.86269,-14.6086,7.14247,-12.5643,11.6102,-12.6774,8.33525,-13.1113,9.86269,7.68838,7.03967,9.7327,11.5473,9.61959,8.24733,9.18569,9.7885,-0.788884,0.376326,-0.425575,-0.127673,22.297,1.20743,0.3,0.15,0.21,0.27,0.15
EST,mean,-12.38,5.48223,-15.3602,7.94925,-13.5979,8.56638,-16.4751,9.34836,-13.5945,5.4678,-16.5747,7.93931,-14.8124,8.55716,-17.6896,9.33991,8.3018,5.32417,5.32159,7.84108,7.08391,8.4661,4.2067,9.25656,-0.788884,0.376326,-0.425575,-0.127673,21.8963,1.24501,-0.43,0.15,0.21,0.27,0.15
ETH,2015,69.726,193.817,835.724,426.515,607.909,457.781,723.344,399.579,59.4786,193.817,825.477,426.515,597.662,457.781,713.097,399.579,64.0668,193.812,830.065,426.513,602.25,457.78,717.685,399.577,-11.8944,8.31778,1.64706,0.494119,4.5882,1.28876,1.68,0.06,0.56,0.56,0.55
ETH,2016,157.04,81.2979,759.054,228.092,732.417,329.858,794.259,331.349,145.974,81.2979,747.989,228.092,721.351,329.858,783.193,331.349,150.704,81.2848,752.718,228.087,726.08,329.855,787.922,331.346,-12.7125,6.6817,1.64706,0.494119,4.7292,1.46097,1.85,0.06,0.56,0.56,0.55
ETH,2017,107.038,136.016,521.887,286.761,520.764,303.56,591.52,339.654,93.1865,136.016,508.036,286.761,506.913,303.56,577.668,339.654,98.1183,136.007,512.967,286.756,511.845,303.556,582.6,339.65,-15.4985,1.10959,1.64706,0.494119,4.93177,1.60614,1.34,0.06,0.56,0.56,0.55
ETH,2018,55.7521,165.206,480.715,186.033,344.867,183.594,241.567,262.321,43.8538,165.206,468.817,186.033,332.968,183.594,229.668,262.321,48.9349,165.199,473.898,186.026,338.049,183.587,234.749,262.316,-13.5454,5.01595,1.64706,0.494119,5.08107,1.60614,1.26,0.06,0.56,0.56,0.55
ETH,2019,103.425,110.58,628.719,222.051,454.203,164.803,392.81,378.647,91.8815,110.58,617.175,222.051,442.659,164.803,381.266,378.647,97.0923,110.573,622.386,222.048,447.87,164.798,386.477,378.645,-13.1909,5.72491,1.64706,0.494119,5.21076,1.28876,1.88,0.06,0.56,0.56,0.55
ETH,2020,63.7511,89.4013,419.071,266.848,415.192,307.554,387.662,384.99,52.0298,89.4013,407.35,266.848,403.471,307.554,375.941,384.99,56.7286,89.392,412.049,266.845,408.169,307.552,380.64,384.988,-13.3683,5.36999,1.64706,0.494119,4.69875,1.28876,1.11,0.06,0.56,0.56,0.55
ETH,mean,71.0883,120.94,563.124,218.629,525.959,221.18,535.876,300.707,59.3671,120.82,551.403,218.563,514.237,221.114,524.155,300.659,64.2404,120.812,556.276,218.558,519.111,221.11,529.028,300.656,-13.3683,5.36999,1.64706,0.494119,4.87329,1.42325,1.37,0.06,0.56,0.56,0.55
FIN,2015,18.5762,44.9926,-60.2343,51.8654,15.0841,73.181,-3.25717,68.7976,12.8882,44.9926,-65.9223,51.8654,9.39607,73.181,-8.94522,68.7976,58.2882,44.9695,-20.5223,51.8454,54.7961,73.1668,36.4548,68.7825,-6.8392,2.87273,1.15114,0.345343,45.4,1.44255,-1.25,0.41,0.33,0.51,0.53
FIN,2016,-21.1232,29.2068,-74.1176,33.7039,-22.8668,73.3437,-65.0164,44.1255,-26.2558,29.2068,-79.2502,33.7039,-27.9994,73.3437,-70.149,44.1255,22.4638,29.1662,-30.5306,33.6687,20.7202,73.3275,-21.4294,44.0986,-6.28375,1.76184,1.15114,0.345343,48.7196,1.53959,-1.51,0.41,0.33,0.51,0.53
FIN,2017,5.46402,51.5185,-39.3478,34.4574,-11.8268,34.9006,-31.1681,40.8109,-0.119148,51.5185,-44.931,34.4574,-17.41,34.9006,-36.7513,40.8109,44.8673,51.4988,0.0554937,34.428,27.5765,34.8715,8.23518,40.7861,-6.73431,2.66295,1.15114,0.345343,44.9865,1.42352,-1.26,0.41,0.33,0.51,0.53
FIN,2018,-75.4889,39.2882,-53.2459,61.0709,-63.7677,35.3348,-59.9526,64.0446,-81.5309,39.2882,-59.2879,61.0709,-69.8097,35.3348,-65.9945,64.0446,-34.8865,39.2624,-12.6434,61.0543,-23.1652,35.3062,-19.3501,64.0288,-7.19313,3.5806,1.15114,0.345343,46.6444,1.42352,0.23,0.41,0.33,0.51,0.53
FIN,2019,-38.8381,49.154,-100.619,25.3215,-70.2515,28.0466,-85.5156,25.6229,-43.9259,49.154,-105.707,25.3215,-75.3394,28.0466,-90.6034,25.6229,-1.91175,49.1329,-63.6928,25.2803,-33.3252,28.0095,-48.5892,25.5823,-6.239,1.67232,1.15114,0.345343,42.0142,1.44255,-1.57,0.41,0.33,0.51,0.53
FIN,2020,-65.8258,29.772,-85.4365,60.103,-80.0711,51.87,-75.8772,54.7179,-71.3325,29.772,-90.9433,60.103,-85.5779,51.87,-81.3839,54.7179,-32.2021,29.737,-51.8129,60.0857,-46.4475,51.85,-42.2535,54.6989,-6.65788,2.51009,1.15114,0.345343,39.1304,1.44255,-0.29,0.41,0.33,0.51,0.53
FIN,mean,-22.2091,38.8255,-83.754,26.2201,-44.6541,40.2199,-44.6789,33.9522,-27.7158,38.7427,-89.2607,26.0974,-50.1608,40.14,-50.1856,33.8575,16.7667,38.7155,-44.7782,26.0569,-5.67827,40.1137,-5.70312,33.8263,-6.65788,2.51009,1.15114,0.345343,44.4825,1.45238,-1.95,0.41,0.33,0.51,0.53
FJI,2015,-11.216,3.9235,-8.47206,5.86644,-10.7887,2.77857,-13.6187,6.06809,-12.3052,3.9235,-9.56124,5.86644,-11.8778,2.77857,-14.7079,6.06809,-9.6779,3.91757,-6.93395,5.86248,-9.25056,2.7702,-12.0806,6.06426,-1.21359,1.79193,0.124417,0.0373252,2.62728,0.215534,0.62,0.38,-0.01,0.31,0.48
FJI,2016,-6.47401,5.05969,-7.62146,3.7548,-5.15071,5.84211,-7.86072,6.69565,-7.78547,5.05969,-8.93292,3.7548,-6.46216,5.84211,-9.17217,6.69565,-4.97741,5.05556,-6.12485,3.74923,-3.6541,5.83853,-6.36411,6.69253,-1.43587,1.34736,0.124417,0.0373252,2.80806,0.204424,-0.32,0.38,-0.01,0.31,0.48
FJI,2017,-10.0609,2.74472,-7.29991,3.36624,-9.44694,2.83202,-10.0373,5.7415,-11.3009,2.74472,-8.53992,3.36624,-10.687,2.83202,-11.2773,5.7415,-8.43967,2.7372,-5.67871,3.36012,-7.82574,2.82474,-8.41609,5.73791,-1.36443,1.49025,0.124417,0.0373252,2.86122,0.202943,0.7,0.38,-0.01,0.31,0.48
FJI,2018,-8.75795,5.47013,-7.92807,5.0501,-10.1628,5.2808,-12.7749,5.96641,-10.0456,5.47013,-9.21568,5.0501,-11.4504,5.2808,-14.0626,5.96641,-6.4984,5.46636,-5.66852,5.04602,-7.90325,5.2769,-10.5154,5.96296,-1.41202,1.39506,0.124417,0.0373252,3.54715,0.202943,0.18,0.38,-0.01,0.31,0.48
FJI,2019,-5.44453,4.09666,-6.84789,1.30529,-6.68697,4.29224,-10.775,6.91624,-6.64484,4.09666,-8.04819,1.30529,-7.88728,4.29224,-11.9753,6.91624,-2.73903,4.09099,-4.14238,1.28737,-3.98147,4.28682,-8.06953,6.91288,-1.32472,1.56966,0.124417,0.0373252,3.90581,0.215534,-0.31,0.38,-0.01,0.31,0.48
FJI,2020,-7.33101,5.34401,-6.2707,2.33222,-5.15098,3.70242,-7.19147,5.2559,-8.55673,5.34401,-7.49641,2.33222,-6.37669,3.70242,-8.41718,5.2559,-4.99872,5.33966,-3.93841,2.32224,-2.81869,3.69614,-4.85917,5.25148,-1.35013,1.51885,0.124417,0.0373252,3.558,0.215534,0.26,0.38,-0.01,0.31,0.48
FJI,mean,-7.56023,2.48602,-6.89435,3.54733,-7.86393,3.26533,-11.5194,5.27504,-8.78594,1.96774,-8.12006,3.2055,-9.08964,2.89034,-12.7451,5.05151,-5.56802,1.95656,-4.90214,3.19865,-5.87172,2.88274,-9.52715,5.04717,-1.35013,1.51885,0.124417,0.0373252,3.21792,0.209485,0.61,0.38,-0.01,0.31,0.48
FRA,2015,-155.722,151.089,-204.342,103.182,-104.02,144.279,-244.573,190.77,-217.467,151.089,-266.087,103.182,-165.766,144.279,-306.318,190.77,137.749,150.712,89.1291,102.63,189.45,143.884,48.8978,190.472,-23.2957,7.79939,-38.4494,-11.5348,355.216,10.6661,-0.4,0.66,0.58,0.74,0.7
FRA,2016,-141.598,169.831,-74.4112,141.152,-149.183,201.688,-217.331,157.016,-204.588,169.831,-137.401,141.152,-212.173,201.688,-280.321,157.016,154.168,169.494,221.354,140.745,146.583,201.404,78.4345,156.651,-24.5403,10.2887,-38.4494,-11.5348,358.755,10.7064,0.34,0.66,0.58,0.74,0.7
FRA,2017,-162.322,160.056,-173.111,53.4684,-169.675,139.686,-247.197,135.128,-219.383,160.056,-230.171,53.4684,-226.736,139.686,-304.258,135.128,139.559,159.696,128.771,52.3805,132.206,139.273,54.6842,134.701,-18.6114,1.56912,-38.4494,-11.5348,358.942,10.7312,-0.06,0.66,0.58,0.74,0.7
FRA,2018,-22.7496,138.215,-159.481,61.0407,-179.635,133.212,-221.156,100.603,-87.7855,138.215,-224.517,61.0407,-244.671,133.212,-286.192,100.603,263.585,137.797,126.854,60.09,106.7,132.779,65.1784,100.029,-26.5864,14.3808,-38.4494,-11.5348,351.371,10.7312,-1.1,0.66,0.58,0.74,0.7
FRA,2019,-87.569,129.292,-54.7592,131.159,-208.656,133.61,-311.114,237.403,-146.819,129.292,-114.009,131.159,-267.906,133.61,-370.364,237.403,196.633,128.851,229.442,130.725,75.5453,133.184,-26.9126,237.163,-20.8007,2.80934,-38.4494,-11.5348,343.452,10.6661,0.24,0.66,0.58,0.74,0.7
FRA,2020,-159.975,83.2985,-9.77002,102.448,-68.5294,123.884,-198.828,108.505,-221.191,83.2985,-70.9863,102.448,-129.746,123.884,-260.045,108.505,81.0012,82.6128,231.206,101.891,172.446,123.424,42.1475,107.98,-22.7669,7.36947,-38.4494,-11.5348,302.192,10.6661,0.8,0.66,0.58,0.74,0.7
FRA,mean,-104.136,126.563,-126.304,67.2547,-163.222,132.797,-244.72,53.9947,-165.352,125.821,-187.52,65.8471,-224.439,132.09,-305.936,52.2309,179.636,125.365,157.468,64.9728,120.549,131.656,39.0519,51.1243,-22.7669,7.36947,-38.4494,-11.5348,344.988,10.6945,-0.21,0.66,0.58,0.74,0.7
FSM,2015,1.22326,31.0657,0.796396,43.7005,1.48875,43.4822,0.0109601,44.3656,1.22318,30.6596,0.796316,43.3923,1.48868,43.0938,0.0108803,44.1629,1.74941,2.02545,1.32255,2.84025,2.01491,3.74633,0.537114,3.61535,-7.9743e-05,0.000159486,0.0,0.0,0.526234,1.19507,-0.5,0.42,0.18,0.39,0.45
FSM,2016,0.823571,31.0657,0.784945,43.7005,1.06467,43.4822,-0.645704,44.3656,0.82347,30.6596,0.784844,43.3923,1.06457,43.0938,-0.645804,44.1629,1.37149,5.86678,1.33287,3.52866,1.61259,5.85603,-0.0977801,2.44215,-0.000100577,0.000201154,0.0,0.0,0.548024,1.19507,-0.03,0.42,0.18,0.39,0.45
FSM,2017,-1.35184,31.0657,-1.11877,43.7005,-1.1205,43.4822,-0.97862,44.3656,-1.35194,30.6596,-1.11887,43.3923,-1.1206,43.0938,-0.978722,44.1629,-0.78296,1.47618,-0.549891,0.960799,-0.551622,0.929222,-0.409744,1.95381,-0.000101535,0.000203069,0.0,0.0,0.568977,1.19507,0.25,0.42,0.18,0.39,0.45
FSM,2018,-1.2154,31.0657,-0.75354,43.7005,-0.285391,43.4822,-3.04018,44.3656,-1.21544,30.6596,-0.753578,43.3923,-0.285429,43.0938,-3.04021,44.1629,-0.590795,2.1082,-0.128936,1.11633,0.339212,1.97837,-2.41557,2.99984,-3.7836e-05,7.5672e-05,0.0,0.0,0.624641,1.19507,0.24,0.42,0.18,0.39,0.45
FSM,2019,2.0354,31.0657,1.89955,43.7005,1.95794,43.4822,-2.42847,44.3656,2.03532,30.6596,1.89947,43.3923,1.95786,43.0938,-2.42855,44.1629,2.68766,2.81501,2.5518,1.82963,2.61019,3.39049,-1.77622,2.90323,-7.49536e-05,0.000149907,0.0,0.0,0.652332,1.19507,-0.14,0.42,0.18,0.39,0.45
FSM,2020,-1.12015,31.0657,0.784923,43.7005,1.29204,43.4822,-1.09878,44.3656,-1.12023,30.6596,0.784844,43.3923,1.29196,43.0938,-1.09886,44.1629,-0.683624,3.73404,1.22145,2.29785,1.72856,2.54108,-0.662248,2.31003,-7.89288e-05,0.000157858,0.0,0.0,0.436608,1.19507,1.57,0.42,0.18,0.39,0.45
FSM,mean,0.828702,31.0657,1.04926,43.7005,1.66257,43.4822,-1.10121,44.3656,0.828623,30.6596,1.04918,43.3923,1.66249,43.0938,-1.10129,44.1629,1.38809,2.2158,1.60865,1.68666,2.22196,2.83485,-0.541821,2.45791,-7.89288e-05,0.000157858,0.0,0.0,0.559469,1.19507,0.29,0.42,0.18,0.39,0.45
GAB,2015,-12.9255,44.153,-28.5183,58.528,-17.7398,77.008,-59.6994,96.6745,-23.7358,44.153,-39.3286,58.528,-28.5501,77.008,-70.5097,96.6745,-11.7751,44.1523,-27.3679,58.5275,-16.5894,77.0076,-58.549,96.6742,-11.326,15.0047,0.515736,0.154721,11.9607,0.246954,-0.16,0.03,0.24,0.21,0.35
GAB,2016,55.5815,43.1349,1.61784,51.218,12.3013,57.7925,0.764815,88.7935,44.3587,43.1349,-9.60502,51.218,1.07847,57.7925,-10.458,88.7935,57.3406,43.1342,3.37693,51.2174,14.0604,57.792,2.5239,88.7932,-11.7386,14.1796,0.515736,0.154721,12.982,0.245058,-0.62,0.03,0.24,0.21,0.35
GAB,2017,24.4963,37.1999,15.8813,63.7196,8.01729,70.1114,-31.6897,58.5746,13.4095,37.1999,4.79451,63.7196,-3.06949,70.1114,-42.7765,58.5746,27.2192,37.1993,18.6042,63.7192,10.7402,70.111,-28.9668,58.5742,-11.6025,14.4518,0.515736,0.154721,13.8097,0.221276,-0.14,0.03,0.24,0.21,0.35
GAB,2018,-27.4473,40.8794,-46.8995,61.9807,-6.60949,72.6667,-92.725,106.695,-38.7582,40.8794,-58.2104,61.9807,-17.9204,72.6667,-104.036,106.695,-24.7564,40.8789,-44.2086,61.9803,-3.9186,72.6664,-90.0341,106.694,-11.8267,14.0035,0.515736,0.154721,14.0018,0.221276,-0.23,0.03,0.24,0.21,0.35
GAB,2019,23.1084,32.7584,25.6977,88.7277,11.5541,63.0785,-47.4476,152.936,11.8059,32.7584,14.3952,88.7277,0.251655,63.0785,-58.7501,152.936,25.9761,32.7575,28.5654,88.7274,14.4218,63.078,-44.5799,152.936,-11.8182,14.0204,0.515736,0.154721,14.1702,0.246954,0.04,0.03,0.24,0.21,0.35
GAB,2020,11.8666,38.6823,-42.0201,76.6555,-34.1818,39.3425,-39.7727,48.7384,0.719882,38.6823,-53.1668,76.6555,-45.3285,39.3425,-50.9193,48.7384,13.8879,38.6815,-39.9987,76.6551,-32.1605,39.3418,-37.7513,48.7378,-11.6624,14.332,0.515736,0.154721,13.168,0.246954,-0.59,0.03,0.24,0.21,0.35
GAB,mean,15.5297,31.1708,-5.69727,50.4492,4.6773,48.6895,-40.6883,78.9629,4.38301,27.6801,-16.8439,48.3703,-6.46937,46.5322,-51.835,77.6512,17.7317,27.6791,-3.49522,48.3698,6.87935,46.5316,-38.4863,77.6508,-11.6624,14.332,0.515736,0.154721,13.3487,0.238078,-0.37,0.03,0.24,0.21,0.35
GBR,2015,-85.5482,64.9703,-73.9951,75.2203,-93.7552,33.5343,-89.4261,32.7984,-89.0751,64.9703,-77.522,75.2203,-97.282,33.5343,-92.9529,32.7984,342.573,64.4629,354.126,74.7826,334.366,32.5406,338.695,31.7816,-28.8844,29.2841,25.3575,7.60726,431.648,8.10333,0.2,0.23,0.06,0.26,0.35
GBR,2016,-86.7878,24.7536,-93.1128,28.1385,-88.005,22.6823,-56.094,86.3659,-91.6653,24.7536,-97.9904,28.1385,-92.8826,22.6823,-60.9716,86.3659,317.519,23.5577,311.194,27.0925,316.302,21.3709,348.213,86.0308,-30.2351,31.9855,25.3575,7.60726,409.184,7.60093,-0.24,0.23,0.06,0.26,0.35
GBR,2017,-53.0493,56.185,-79.6539,47.0507,-76.6025,55.7938,-67.5902,69.9697,-54.435,56.185,-81.0396,47.0507,-77.9882,55.7938,-68.9759,69.9697,338.949,55.7058,312.345,46.4773,315.396,55.3112,324.408,69.5855,-26.7432,25.0018,25.3575,7.60726,393.384,7.32277,-0.4,0.23,0.06,0.26,0.35
GBR,2018,-56.8173,42.9681,-73.2822,48.7639,-58.3451,53.1044,-54.797,60.4619,-58.6228,42.9681,-75.0877,48.7639,-60.1506,53.1044,-56.6025,60.4619,327.472,42.3396,311.007,48.2109,325.944,52.5971,329.492,60.0168,-27.1631,25.8414,25.3575,7.60726,386.095,7.32277,-0.43,0.23,0.06,0.26,0.35
GBR,2019,-81.5632,66.837,-85.0591,35.898,-95.8296,66.3197,-82.7654,50.9886,-85.5472,66.837,-89.0431,35.898,-99.8137,66.3197,-86.7494,50.9886,290.747,66.344,287.251,34.9715,276.48,65.8228,289.545,50.3406,-29.3415,30.1983,25.3575,7.60726,376.294,8.10333,-0.04,0.23,0.06,0.26,0.35
GBR,2020,-75.3161,43.7267,-5.58157,49.1438,-35.932,37.2668,-54.9343,76.7522,-78.4321,43.7267,-8.69752,49.1438,-39.0479,37.2668,-58.0503,76.7522,257.708,42.9693,327.442,48.4711,297.092,36.3752,278.089,76.3232,-28.4735,28.4622,25.3575,7.60726,336.14,8.10333,1.11,0.23,0.06,0.26,0.35
GBR,mean,-65.1903,42.2832,-69.9614,51.8078,-61.5697,49.505,-63.3606,50.877,-68.3063,30.3299,-73.0773,42.6155,-64.6856,39.7842,-66.4765,41.4789,320.485,29.3205,315.714,41.9032,324.105,39.0202,322.314,40.7467,-28.4735,28.4622,25.3575,7.60726,388.791,7.75941,-0.18,0.23,0.06,0.26,0.35
GEO,2015,0.641126,25.7212,-1.38865,20.6504,-0.281972,15.9768,3.2994,19.8165,0.98587,25.7212,-1.04391,20.6504,0.0627724,15.9768,3.64414,19.8165,7.37809,25.7112,5.34831,20.638,6.45499,15.9607,10.0364,19.8036,-1.0027,1.9715,1.34744,0.404233,6.39222,0.715506,-0.07,0.04,0.56,0.47,0.51
GEO,2016,-5.55735,12.8698,1.40031,14.8524,-2.41967,11.9466,-14.6244,10.2949,-5.21474,12.8698,1.74291,14.8524,-2.07707,11.9466,-14.2818,10.2949,1.44758,12.8485,8.40523,14.834,4.58525,11.9237,-7.61945,10.2683,-1.00484,1.96722,1.34744,0.404233,6.66232,0.739383,0.31,0.04,0.56,0.47,0.51
GEO,2017,9.1266,29.1761,-0.294592,9.59714,-3.41471,17.2718,-0.436641,12.199,9.47076,29.1761,0.0495673,9.59714,-3.07055,17.2718,-0.0924822,12.199,16.3744,29.1669,6.95319,9.56906,3.83308,17.2562,6.81114,12.1769,-1.00328,1.97034,1.34744,0.404233,6.90362,0.733685,-0.4,0.04,0.56,0.47,0.51
GEO,2018,-5.62967,14.9838,21.0185,15.2938,12.4684,14.9669,10.3048,11.2219,-5.28463,14.9838,21.3635,15.2938,12.8134,14.9669,10.6498,11.2219,1.78675,14.9658,28.4349,15.2762,19.8848,14.9489,17.7212,11.1979,-1.00241,1.97209,1.34744,0.404233,7.07138,0.733685,1.24,0.04,0.56,0.47,0.51
GEO,2019,-10.1254,15.0216,-0.966201,14.6056,-7.2974,14.9419,-11.8866,10.4009,-9.77891,15.0216,-0.619704,14.6056,-6.95091,14.9419,-11.5401,10.4009,-2.36935,15.0046,6.78986,14.588,0.458662,14.9248,-4.13051,10.3762,-1.00095,1.97501,1.34744,0.404233,7.40957,0.715506,0.53,0.04,0.56,0.47,0.51
