year,Population,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,SolidWasteDisposal
1970.0,-0.16300055566983002,-0.1353743880090626,0.07848093666041402,-0.3543214335155757,-0.41637396631183227,-0.3197733301116439,-0.37493511984087885,-0.4106238407912652
1970.0,-0.26282452013490165,-0.40031237101000045,-0.29794621721828185,-0.35558348539230955,-0.4141954715062352,-0.345640829415196,-0.36611840049484917,-0.4087824152558744
1970.0,-0.1277514676839981,-0.28161287516080274,-0.12035573020431302,-0.30645333271864805,-0.3939881659701429,-0.3189472326644431,-0.3822374557699937,-0.20428262871327935
1970.0,-0.2177143443757439,-0.3605520665806951,-0.2049691990250422,-0.3478387086246294,-0.13728581154436265,-0.32412384367001673,-0.37080755231243445,-0.41114691583721924
1970.0,-0.011369556253554708,0.16100464181593388,2.2481788784062426,-0.10369927740279698,-0.10801056389964203,-0.18399241123566384,0.04952835854160918,0.16039648672172896
1970.0,-0.14268210007199425,-0.14385069118307472,2.0688066493763495,0.2845946295610846,-0.27475678474356613,-0.2811985960341588,0.36757679981510333,1.1736725953256695
1970.0,-0.20106384223584156,-0.2245595497116385,-0.17696553425033898,-0.11149469597283239,-0.36519741046553683,-0.022788270490306767,-0.10886691938198553,0.08849732389007592
1970.0,-0.28476533241090163,-0.4195760478481119,-0.34489919956240994,-0.42536782059180833,-0.40486507751651046,-0.30206651758020214,-0.38237973280708654,-0.40485777535607453
1970.0,-0.2525384546784715,-0.3964281171871433,-0.3269396113769792,-0.3054129867372807,-0.37384355849484724,-0.3440111812506535,-0.38236917603621207,-0.41485940066543087
1970.0,-0.23444154336302636,-0.3624987004625501,0.22524049576289498,-0.3819367423262572,-0.4135087023881885,-0.3087853930042404,-0.38077774879749343,-0.4111190368136016
1970.0,-0.28070116403561596,-0.41606601828751527,-0.2587204202151403,-0.4113424086915433,-0.41539249498676384,-0.35723761044938657,-0.38099174142737857,-0.4166331902844723
1970.0,0.8287751004613794,0.6829728622789359,6.497082050561902,2.8268174382708176,0.22300364628474187,1.3043965579367662,0.16570554490876568,1.6308150728677495
1970.0,-0.18921946735531225,-0.09742657505257736,-0.2378537598674055,-0.18584934962433772,-0.3222201378339643,-0.14805127499775392,-0.05969908238292156,0.10681313934743415
1970.0,-0.22255679867232947,-0.37495284982220684,-0.17496194556927555,-0.2572402562350542,-0.4143431649239124,-0.3397103886320607,-0.38457095093628046,-0.4146797616230581
1970.0,-0.2470431678448371,-0.3641709317955399,-0.30705788348736973,-0.33460429571960043,-0.40835938055963755,-0.3344240278367154,-0.3852144905967534,-0.41593515292745015
1970.0,-0.20985091930055935,-0.3442659110124742,-0.3038757864644383,-0.10348840745472808,-0.3719295038860772,-0.31468758659462864,-0.3792181373560319,-0.3991793082660098
1970.0,-0.21281335675038449,-0.2647143973548636,-0.18589636642801755,-0.24345748532745515,-0.3733166102177724,-0.3347951354686226,-0.37525832343664506,-0.40301981738147097
1970.0,-0.04054705954181024,1.219924417797713,0.8910888086796253,1.9786702775049303,1.7709958065099365,-0.26585896743145965,1.1424507718251053,1.3049829089957736
1970.0,-0.26361364856475733,-0.38565195001761027,-0.3028295504934464,-0.36545023469534116,-0.41472396853209115,-0.3495340599646385,-0.38505865832042824,-0.4113697770951431
1970.0,-0.2450790057180028,-0.3745117691659458,-0.0388057694082212,-0.33534958693686434,-0.40333192137896656,-0.34781807428384,-0.38476854298923574,-0.41355893323062054
1970.0,-0.17380240481851905,-0.15468140085062548,0.029711791146070567,-0.1911157468212662,-0.02115648115680085,-0.2950286744846462,-0.26743681403028097,-0.21128558433898906
1970.0,-0.04539776155857926,-0.18905606468373734,1.6397377657996584,-0.1588823594396041,-0.2725357572847291,-0.03675218640456325,-0.3689507415590322,-0.004332492214455653
1970.0,-0.2847542813925659,-0.41967141979663475,-0.3493749152877977,-0.4264324600899697,-0.41149061808607523,-0.35813251724087325,-0.38578830088861676,-0.4153698314981114
1970.0,-0.2713790972111334,-0.4054291935244575,-0.34352857175135854,-0.3942009260713567,-0.30088215012883945,-0.34443702217877625,-0.38391941148096137,-0.41242680485146255
1970.0,-0.2660654803151915,-0.39694912611899436,-0.28056205110183186,-0.29858555599887854,-0.4054123367857255,-0.30879179566958237,-0.37712400666235507,-0.385837079571113
1970.0,-0.18481687602334188,-0.2815765114643461,-0.25388493000067813,-0.3439244396056335,-0.21357645262574565,0.6825353760877729,-0.23968303318808923,-0.22106713738867706
1970.0,-0.2801386509849019,-0.40491727776790987,-0.3425943421936393,-0.41944347578764246,-0.4108619647382153,-0.34528254972300976,-0.37282929158101275,-0.4069944558399008
1970.0,-0.23046753229980224,-0.14690917341393672,-0.31250013041515257,-0.18764458590534785,0.6320507438766224,-0.18111401236945562,-0.015474181829095558,-0.20035558714352977
1970.0,-0.2858891769569102,-0.42303383753396934,-0.34154534800127456,-0.4268538779631488,-0.41625412086220637,-0.3571806800884835,-0.38452128054758816,-0.41301463423823725
1970.0,-0.28676357430287597,-0.42307683849159583,-0.3499605516031051,-0.42766408681146834,-0.4149780867894299,-0.35813251724087325,-0.3859604345322572,-0.4163000639632526
1970.0,-0.23571370786581708,-0.37867390638514453,-0.26111017535910336,-0.40937117069248763,-0.2820355341428653,-0.23636285464610918,-0.36019743800677734,-0.37221429189583827
1970.0,-0.21606346819323746,-0.3430666815173366,-0.179395084778619,-0.29350833463304177,-0.3831866270880106,-0.24547245334277118,-0.35965182921694494,-0.34290199703110735
1970.0,0.11534859040314255,-0.1114779540042344,-0.27605348789434037,-0.13303721237177932,-0.2498336070905716,0.2417111555987416,-0.26587786031599836,-0.12991073817675797
1970.0,-0.24563855329629136,-0.3948335552082693,-0.28505893972422236,-0.3493028588661961,-0.3925424769683729,-0.3056541777518821,-0.3725731279961451,-0.37463952974373044
1970.0,-0.28711663927966163,-0.42309126458075896,-0.34925927617590063,-0.42789259373335947,-0.21011607641460558,-0.35813251724087325,-0.3845512824300025,-0.41527386647792847
1970.0,-0.28144959830675753,-0.4181682087784917,-0.34570307086341917,-0.42194553917473,-0.2841728213087274,-0.29780881432667317,-0.3814576180138872,-0.40732691603884863
1970.0,-0.2342027533295128,-0.23968593016425713,-0.30418906789118816,0.21232071750268008,-0.28169078618272525,-0.22693791215442397,-0.1627738181038922,0.7824668829182371
1970.0,0.3116041347172682,1.3436988835659684,1.7312050093448874,1.3922278250628422,1.5250141729219033,1.3137357129617488,2.048690808986795,1.2684218642998646
1970.0,-0.28619601068193723,-0.4197765450621508,-0.3430077334023996,-0.42621446919507283,-0.4078139912764409,-0.35813251724087325,-0.3846346349052289,-0.41611289722092204
1970.0,-0.28064384701389167,-0.4146517049204129,-0.3452742446111282,-0.4125702010151082,-0.4030466637395238,-0.35444856067556185,-0.3849245213565558,-0.4161804504496851
1970.0,-0.28143689079405915,-0.41767843097898827,-0.3367775857904923,-0.4213441467872359,-0.4071234766781818,-0.3552018095025142,-0.3858086893362533,-0.4167165951572721
1970.0,0.6179417570585098,1.6889597322011873,1.3609871019406297,2.260407996427759,2.5324032970866006,2.7591682391112857,4.967943308064395,4.098605466327128
1970.0,-0.1849065468125836,-0.3621924139207508,-0.29111748613188076,-0.19193794611320442,-0.17320934145971165,-0.28478987751079243,-0.3629466575154223,-0.41317634696215594
1970.0,-0.18570686526729493,-0.1657968614642799,0.005286278346127758,-0.2838214562196373,-0.3069471553413938,-0.2359335439887465,-0.23782814663622198,-0.04842012854112205
1970.0,-0.2864172279745543,-0.422993806873172,-0.3498667447327697,-0.4271700632008793,-0.411715975015803,-0.35813251724087325,-0.3857276712810242,-0.41514491248907043
1970.0,-0.22436931626977955,-0.3659194818822274,-0.2509658036593482,-0.23906463463450842,-0.3976119283940784,-0.30706133111363754,-0.36594265189157477,-0.3040277877292197
