Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,Experiment,LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),FUR LNLG,LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),FUR LNLGIS,LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),FUR LNLGOGIS
AFG,mean,,,,,,,-2.14881,2.26643,4.05648,1.21694,23.3405,0.743815,0.4,,LNLGIS,,,,,,,,68.4959,197.973,70.4036,197.956,93.7441,197.955,0.19,,,,,,,
AFG,mean,,,,,,,-2.14881,2.26643,4.05648,1.21694,23.3405,0.743815,0.4,,LNLGOGIS,,,,,,,,,,,,,,,12.9166,135.248,14.8243,135.223,38.1648,135.221,0.03
AGO,2015,192.577,308.678,177.402,308.678,192.063,308.659,-20.5043,11.7202,5.32926,1.59878,14.6613,3.43854,-1.03,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,2015,,,,,,,-20.5043,11.7202,5.32926,1.59878,14.6613,3.43854,-1.03,,LNLG,-98.4819,272.388,-113.657,272.388,-98.9957,272.367,0.69,,,,,,,,,,,,,,
AGO,2015,,,,,,,-20.5043,11.7202,5.32926,1.59878,14.6613,3.43854,-1.03,,LNLGIS,,,,,,,,-80.0936,237.9,-95.2686,237.9,-80.6073,237.875,0.72,,,,,,,
AGO,2015,,,,,,,-20.5043,11.7202,5.32926,1.59878,14.6613,3.43854,-1.03,,LNLGOGIS,,,,,,,,,,,,,,,49.8006,226.39,34.6255,226.39,49.2869,226.364,0.71
AGO,2016,328.722,138.506,312.818,138.506,327.901,138.463,-21.2327,10.2634,5.32926,1.59878,15.0825,3.44928,-1.14,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,2016,,,,,,,-21.2327,10.2634,5.32926,1.59878,15.0825,3.44928,-1.14,,LNLG,-230.727,304.473,-246.63,304.473,-231.548,304.453,0.69,,,,,,,,,,,,,,
AGO,2016,,,,,,,-21.2327,10.2634,5.32926,1.59878,15.0825,3.44928,-1.14,,LNLGIS,,,,,,,,-241.412,299.022,-257.315,299.022,-242.233,299.003,0.72,,,,,,,
AGO,2016,,,,,,,-21.2327,10.2634,5.32926,1.59878,15.0825,3.44928,-1.14,,LNLGOGIS,,,,,,,,,,,,,,,-145.696,159.431,-161.599,159.431,-146.517,159.394,0.71
AGO,2017,4.73923,249.545,-11.9314,249.545,3.73483,249.516,-21.9999,8.72909,5.32926,1.59878,15.6662,3.78888,-2.88,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,2017,,,,,,,-21.9999,8.72909,5.32926,1.59878,15.6662,3.78888,-2.88,,LNLG,-511.968,395.618,-528.638,395.618,-512.972,395.6,0.69,,,,,,,,,,,,,,
